degree,tvhours
HSorLess,1
HSorLess,1
HSorLess,4
HSorLess,3
HSorLess,6
College,1
HSorLess,5
College,1
College,3
HSorLess,1
HSorLess,1
College,3
College,2
HSorLess,3
HSorLess,1
HSorLess,2
HSorLess,2
HSorLess,2
HSorLess,10
Graduate,1
HSorLess,4
HSorLess,5
HSorLess,8
HSorLess,8
College,2
HSorLess,1
HSorLess,1
HSorLess,6
HSorLess,2
College,2
Graduate,1
HSorLess,2
College,3
HSorLess,4
HSorLess,1
HSorLess,4
HSorLess,5
HSorLess,1
HSorLess,4
HSorLess,6
HSorLess,4
HSorLess,5
HSorLess,2
HSorLess,3
College,1
HSorLess,6
HSorLess,1
HSorLess,4
HSorLess,4
College,1
Graduate,0
HSorLess,3
HSorLess,3
HSorLess,2
HSorLess,1
HSorLess,2
College,1
HSorLess,1
Graduate,6
HSorLess,4
Graduate,3
HSorLess,8
HSorLess,3
HSorLess,3
HSorLess,7
HSorLess,4
Graduate,6
HSorLess,6
HSorLess,5
College,6
HSorLess,5
HSorLess,2
College,2
College,2
HSorLess,4
HSorLess,1
College,3
HSorLess,6
HSorLess,1
College,6
HSorLess,3
HSorLess,7
HSorLess,1
HSorLess,3
College,1
HSorLess,4
HSorLess,5
HSorLess,6
HSorLess,2
HSorLess,10
College,1
College,1
HSorLess,1
Graduate,1
HSorLess,3
HSorLess,3
HSorLess,2
HSorLess,5
HSorLess,3
HSorLess,3
College,1
HSorLess,4
College,2
HSorLess,2
HSorLess,8
Graduate,1
College,3
HSorLess,1
HSorLess,1
HSorLess,5
HSorLess,1
HSorLess,1
HSorLess,2
HSorLess,3
Graduate,1
Graduate,1
College,2
HSorLess,1
HSorLess,1
HSorLess,4
HSorLess,1
HSorLess,6
College,2
College,4
Graduate,2
College,4
HSorLess,3
HSorLess,3
HSorLess,2
Graduate,1
HSorLess,4
HSorLess,0
HSorLess,4
HSorLess,5
HSorLess,4
HSorLess,2
HSorLess,2
Graduate,2
HSorLess,4
HSorLess,2
HSorLess,2
HSorLess,1
College,3
College,7
College,2
College,1
HSorLess,2
Graduate,1
Graduate,1
HSorLess,6
HSorLess,2
Graduate,1
College,1
Graduate,0
Graduate,4
HSorLess,4
College,1
HSorLess,1
HSorLess,5
College,3
HSorLess,1
College,1
Graduate,8
HSorLess,4
HSorLess,3
HSorLess,3
HSorLess,2
Graduate,3
College,2
College,1
Graduate,2
College,1
HSorLess,3
HSorLess,1
HSorLess,2
College,12
HSorLess,5
HSorLess,6
HSorLess,4
College,3
College,0
College,1
Graduate,1
College,1
College,2
College,6
HSorLess,4
HSorLess,2
HSorLess,3
HSorLess,2
HSorLess,12
HSorLess,2
HSorLess,6
HSorLess,4
HSorLess,5
HSorLess,7
HSorLess,2
HSorLess,2
HSorLess,4
HSorLess,4
College,1
College,2
HSorLess,12
Graduate,3
Graduate,2
HSorLess,0
HSorLess,2
HSorLess,3
HSorLess,5
HSorLess,2
HSorLess,2
HSorLess,1
HSorLess,2
HSorLess,3
College,4
HSorLess,5
College,3
Graduate,3
HSorLess,5
HSorLess,6
HSorLess,5
HSorLess,2
HSorLess,3
HSorLess,1
HSorLess,3
HSorLess,2
HSorLess,4
HSorLess,4
Graduate,0
College,1
College,2
HSorLess,3
College,8
HSorLess,3
College,1
HSorLess,4
HSorLess,0
HSorLess,2
HSorLess,6
College,1
HSorLess,5
College,3
HSorLess,5
HSorLess,3
HSorLess,2
College,1
HSorLess,4
HSorLess,3
HSorLess,5
HSorLess,2
College,0
College,3
HSorLess,5
College,1
HSorLess,3
College,0
College,2
HSorLess,4
HSorLess,4
HSorLess,4
HSorLess,3
HSorLess,2
HSorLess,4
HSorLess,2
HSorLess,1
HSorLess,2
Graduate,2
HSorLess,1
HSorLess,5
HSorLess,5
College,1
College,0
HSorLess,2
HSorLess,1
HSorLess,2
HSorLess,5
HSorLess,3
HSorLess,1
College,3
HSorLess,3
HSorLess,5
HSorLess,4
HSorLess,3
HSorLess,4
College,4
HSorLess,1
HSorLess,1
HSorLess,1
HSorLess,2
HSorLess,2
Graduate,1
HSorLess,3
HSorLess,3
HSorLess,2
HSorLess,1
HSorLess,3
HSorLess,4
HSorLess,5
HSorLess,2
HSorLess,2
HSorLess,2
College,2
HSorLess,3
HSorLess,2
HSorLess,5
HSorLess,4
HSorLess,5
HSorLess,1
HSorLess,3
HSorLess,6
HSorLess,5
HSorLess,3
HSorLess,20
HSorLess,4
HSorLess,5
College,2
HSorLess,1
HSorLess,1
College,2
HSorLess,3
HSorLess,1
HSorLess,2
HSorLess,1
HSorLess,1
HSorLess,4
HSorLess,4
College,1
HSorLess,2
HSorLess,4
College,2
HSorLess,3
HSorLess,2
HSorLess,3
HSorLess,5
HSorLess,6
HSorLess,1
HSorLess,2
HSorLess,2
College,4
HSorLess,5
HSorLess,1
HSorLess,6
HSorLess,8
College,1
HSorLess,1
HSorLess,1
HSorLess,2
College,3
College,2
HSorLess,4
Graduate,3
HSorLess,4
HSorLess,4
HSorLess,0
HSorLess,4
HSorLess,5
HSorLess,2
College,1
HSorLess,5
College,3
HSorLess,2
College,1
College,7
College,3
HSorLess,2
HSorLess,3
HSorLess,8
HSorLess,2
HSorLess,5
HSorLess,5
HSorLess,2
HSorLess,6
HSorLess,2
HSorLess,2
HSorLess,4
HSorLess,1
HSorLess,1
HSorLess,8
HSorLess,3
HSorLess,5
HSorLess,6
College,2
HSorLess,24
HSorLess,0
HSorLess,4
Graduate,5
HSorLess,3
HSorLess,2
HSorLess,2
HSorLess,11
HSorLess,11
Graduate,2
Graduate,3
College,0
College,3
HSorLess,0
College,2
HSorLess,1
HSorLess,1
HSorLess,5
HSorLess,2
HSorLess,3
HSorLess,3
College,1
HSorLess,3
College,1
HSorLess,2
HSorLess,2
HSorLess,5
HSorLess,2
HSorLess,3
HSorLess,2
College,1
HSorLess,4
College,3
HSorLess,1
HSorLess,5
Graduate,3
HSorLess,6
HSorLess,4
HSorLess,0
HSorLess,9
HSorLess,3
HSorLess,3
HSorLess,3
College,2
HSorLess,8
College,4
College,1
HSorLess,4
HSorLess,3
HSorLess,1
HSorLess,2
Graduate,0
HSorLess,3
HSorLess,3
College,6
HSorLess,1
College,1
HSorLess,1
HSorLess,5
HSorLess,3
HSorLess,12
College,2
Graduate,1
HSorLess,2
HSorLess,3
HSorLess,6
HSorLess,2
HSorLess,2
College,1
Graduate,2
Graduate,1
HSorLess,2
Graduate,2
HSorLess,2
HSorLess,4
HSorLess,5
College,3
College,2
HSorLess,5
HSorLess,2
HSorLess,3
HSorLess,3
HSorLess,5
HSorLess,1
HSorLess,3
HSorLess,2
College,3
College,4
HSorLess,2
HSorLess,5
HSorLess,3
Graduate,0
College,1
College,2
HSorLess,5
HSorLess,4
HSorLess,2
HSorLess,4
HSorLess,2
HSorLess,3
HSorLess,2
HSorLess,8
HSorLess,2
HSorLess,4
HSorLess,4
Graduate,1
HSorLess,1
College,2
College,4
HSorLess,2
HSorLess,3
College,8
College,3
HSorLess,2
HSorLess,0
HSorLess,4
HSorLess,2
HSorLess,3
HSorLess,1
HSorLess,10
HSorLess,2
College,3
HSorLess,2
Graduate,1
Graduate,2
Graduate,2
College,3
HSorLess,3
HSorLess,4
HSorLess,3
HSorLess,6
HSorLess,4
HSorLess,2
HSorLess,2
HSorLess,6
HSorLess,5
HSorLess,2
HSorLess,2
HSorLess,6
College,1
HSorLess,3
College,2
College,1
Graduate,0
HSorLess,1
HSorLess,3
College,5
HSorLess,2
HSorLess,1
HSorLess,1
HSorLess,2
HSorLess,2
HSorLess,2
College,2
HSorLess,3
HSorLess,16
HSorLess,4
College,2
HSorLess,5
College,1
College,5
HSorLess,8
HSorLess,2
College,2
College,2
Graduate,1
Graduate,1
College,1
HSorLess,1
HSorLess,1
HSorLess,6
HSorLess,4
HSorLess,5
HSorLess,3
