ReligImp,StudyHrs
Fairly,3
Fairly,30
Fairly,16
Not,4
Not,12
Fairly,20
Fairly,4
Not,15
Fairly,7
Fairly,40
Not,30
Not,15
Not,10
Fairly,3
Fairly,7
Very,7
Fairly,4
Fairly,15
Fairly,15
Fairly,20
Very,10
Not,10
Very,35
Fairly,12
Very,15
Fairly,2
Very,40
Fairly,7
Not,12
Fairly,12
Not,2
Fairly,5
Very,7
Not,10
Very,6
Not,30
Fairly,15
Very,10
Fairly,14
Fairly,10
Fairly,19
Fairly,24
Not,50
Fairly,15
Fairly,20
Very,20
Fairly,25
Not,13
Not,20
Fairly,20
Not,5
Very,30
Fairly,15
Fairly,15
Fairly,35
Fairly,20
Not,3
Fairly,18
Fairly,4
Very,10
Very,35
Fairly,10
Very,10
Fairly,20
Fairly,20
Not,2
Very,10
Fairly,22
Fairly,15
Fairly,20
Fairly,4
Not,30
Fairly,10
Fairly,5
Very,14
Fairly,7
Fairly,35
Fairly,10
Fairly,10
Not,10
Very,7
Not,4
Fairly,2
Not,25
Fairly,20
Very,10
Fairly,3
Fairly,9
Not,2
Fairly,3
Very,5
Very,10
Fairly,5
Fairly,8
Very,7
Very,40
Not,2
Not,10
Very,10
Fairly,12
Fairly,40
Fairly,25
Fairly,10
Not,30
Very,10
Not,10
Not,25
Fairly,20
Very,7
Very,24
Fairly,12
Fairly,20
Fairly,20
Very,10
Fairly,10
Fairly,2
Very,18
Fairly,28
Not,8
Fairly,20
Fairly,10
Very,8
Very,30
Fairly,5
Fairly,10
Fairly,15
Very,7
Not,10
Fairly,2
Not,15
Fairly,10
Very,10
Fairly,10
Fairly,15
Not,2
Fairly,14
Not,25
Very,12
Very,30
Very,10
Not,10
Fairly,28
Fairly,3
Not,25
Fairly,8
Fairly,6
Fairly,10
Fairly,70
Fairly,10
Fairly,4
Not,19
Not,28
Very,10
Fairly,20
Not,20
Fairly,25
Fairly,13
Very,7
Not,20
Fairly,20
Fairly,9
Fairly,4
Very,50
Fairly,10
Not,7
Very,6
Very,14
Fairly,25
Not,4
Not,20
Not,10
Very,4
Fairly,10
Fairly,40
Fairly,30
Fairly,8
Not,5
Not,20
Fairly,15
Very,14
Fairly,20
Fairly,15
Very,7
Fairly,5
Very,25
Very,10
Very,6
Fairly,30
Very,28
Very,15
Not,5
Very,10
Not,14
Not,3
Not,7
Not,21
Fairly,30
Fairly,6
Fairly,14
Fairly,12
Not,12
Not,5
Very,4
Fairly,30
Not,15
Very,16
Not,15
Fairly,5
Fairly,3
Not,5
Fairly,15
Not,10
Very,6
Fairly,12
Very,50
Not,20
Not,4
Fairly,2
Not,20
Very,25
Fairly,25
Not,10
Fairly,2
Very,15
Very,10
Fairly,7
Very,10
Very,25
Very,6
Not,10
Not,6
Fairly,22
Not,2
Very,16
Fairly,10
Fairly,10
Fairly,10
Very,8
Not,10
Not,7
Fairly,6
Not,4
Not,8
Fairly,5
Not,6
Fairly,10
Not,16
Not,10
Not,5
Fairly,4
Fairly,7
Not,9
Fairly,25
Fairly,5
Fairly,20
Not,10
Fairly,7
Fairly,10
Fairly,12
Not,10
Very,30
Fairly,22
Fairly,20
Very,2
Fairly,5
Not,4
Very,15
Not,10
Not,15
Not,20
Not,5
Fairly,2
Fairly,15
Fairly,14
Fairly,5
Not,14
Fairly,5
Very,20
Not,10
Fairly,13
Fairly,8
Fairly,12
Not,10
Fairly,27
Fairly,15
Fairly,7
Very,15
Very,18
Fairly,15
Very,14
Very,20
Not,3
Not,15
Fairly,2
Very,12
Not,40
Not,20
Not,3
Not,3
Fairly,20
Not,9
Very,10
Very,20
Not,15
Very,15
Fairly,5
Not,10
Fairly,7
Fairly,12
Not,10
Not,10
Not,15
Fairly,15
Fairly,0
Not,12
Very,35
Very,40
Fairly,5
Very,6
Fairly,15
Fairly,10
Very,6
Very,30
Fairly,6
Very,30
Not,10
Very,3
Very,4
Not,15
Not,8
Not,15
Not,13
Very,6
Very,16
Fairly,10
Not,20
Fairly,5
Fairly,4
Fairly,11
Fairly,4
Very,20
Not,12
Not,5
Very,20
Fairly,21
Not,12
Not,40
Not,12
Not,4
Fairly,6
Fairly,13
Not,8
Fairly,9
Fairly,40
Not,10
Not,10
Fairly,4
Fairly,5
Fairly,7
Fairly,13
Fairly,12
Fairly,15
Fairly,12
Fairly,4
Fairly,10
Very,6
Fairly,10
Fairly,10
Fairly,10
Very,9
Fairly,10
Fairly,21
Fairly,15
Fairly,20
Fairly,15
Fairly,11
Fairly,15
Fairly,6
Not,15
Fairly,10
Fairly,12
Fairly,15
Very,10
Fairly,10
Fairly,5
Not,7
Not,11
Not,15
Not,10
Fairly,12
Fairly,8
Fairly,15
Very,5
Not,10
Not,12
Fairly,20
Very,10
Fairly,10
Fairly,10
Fairly,12
Not,18
Very,20
Fairly,9
Fairly,7
Not,55
Not,4
Fairly,4
Fairly,30
Fairly,25
Fairly,8
Not,30
Fairly,10
Fairly,3
Not,12
Fairly,10
Fairly,4
Very,20
Not,4
Not,30
Very,40
Very,6
Not,1
Very,13.5
Fairly,6
Very,30
Fairly,50
Fairly,10
Not,12
Very,2
Fairly,9
Fairly,17
Very,20
Fairly,8
Very,10
Not,10
Fairly,35
Very,13
Fairly,5
Fairly,12
Fairly,12
Not,20
Fairly,4
Fairly,10
Fairly,7
Fairly,6
Not,3
Very,8
Fairly,20
Very,12
Not,10
Fairly,12
Not,3
Very,3
Very,20
Not,15
Fairly,25
Not,5
Fairly,3
Not,6
Very,30
Not,3
Fairly,7
Fairly,10
Not,8
Not,10
Very,10
Not,5
Fairly,20
Very,6
Fairly,10
Not,3
Not,8
Very,20
Very,16
Not,8
Not,5
Not,3
Not,10
Not,10
Not,15
Fairly,20
Not,20
Fairly,15
Not,15
Very,30
Fairly,6
Fairly,10
Fairly,12
Fairly,8
Very,4
Not,7
Not,15
Not,10
Fairly,7
Fairly,30
Fairly,5
Not,8
Fairly,10
Not,10
Fairly,6
Very,30
Fairly,15
Not,10
Fairly,10
Not,20
Very,48
Not,15
Fairly,9
Very,4
Very,13
Very,10
Fairly,10
Fairly,25
Very,4
Fairly,2
Very,6
Fairly,20
Fairly,20
Very,10
Very,20
Fairly,5
Not,12
Fairly,9
Fairly,10
Fairly,10
Very,21
Not,5
Not,10
Fairly,10
Fairly,4
Fairly,10
Fairly,8
Not,10
Not,20
Not,2
Very,15
Fairly,10
Not,5
Not,14
Not,12
Very,30
Fairly,18
Fairly,15
Fairly,8
Fairly,10
Fairly,35
Not,8
Fairly,7
Fairly,12
Fairly,20
Not,10
Fairly,45
Fairly,5
Not,10
Not,40
Fairly,10
Fairly,10
Not,10
Fairly,20
Fairly,2
Not,5
Fairly,5
Not,6
Fairly,5
Fairly,30
Not,5
Not,20
Very,5
Fairly,10
Very,15
Fairly,20
Not,20
Not,15
Very,7
Very,25
Fairly,10
Fairly,5
Fairly,4
Very,12
Not,10
Not,10
Fairly,20
Very,20
Fairly,10
Fairly,8
Not,3
Not,4
Fairly,4
Not,4
Fairly,10
Not,20
Not,5
Not,20
Not,5
Very,30
Not,2
Very,7
Not,20
Not,12
Not,16
Fairly,25
Very,2
Not,3
Fairly,10
Not,18
Very,5
Not,5
Fairly,7
Not,10
Very,15
Not,4
Not,14
Very,15
Not,30
Not,6
Fairly,5
Not,6
Fairly,5
Fairly,10
Very,5
Not,12
Fairly,8
Fairly,6
Fairly,4
Fairly,35
Not,5
Not,35
Not,8
Very,30
Fairly,18
Not,8
Very,15
Fairly,6
Fairly,15
Not,12
Fairly,9
Fairly,15
Fairly,20
Not,6
Very,10
Fairly,12
Not,10
Very,14
Very,25
Not,7
Fairly,10
Fairly,10
Fairly,14
Not,5
Not,7
Not,10
Fairly,7
Very,6
Not,5
Fairly,10
Fairly,10
Very,9
Fairly,20
Not,20
Fairly,7
Fairly,10
Very,22
Very,48
Not,8
Very,30
Fairly,20
Very,55
Not,5
Not,2
Fairly,5
Fairly,8
Not,10
Not,10
Fairly,12
Not,2
Not,10
Very,15
Not,6
Fairly,18
Very,15
Not,5
Not,6
Not,10
Fairly,10
Fairly,25
Fairly,6
