y,gender,age,culture,majority_first
unchosen,girl,6,C2,no
minority,girl,8,C2,no
majority,boy,8,C2,yes
unchosen,girl,6,C2,no
majority,girl,5,C2,yes
majority,boy,7,C2,yes
majority,boy,6,C2,no
unchosen,girl,6,C2,yes
minority,girl,8,C2,no
majority,girl,5,C2,yes
minority,girl,9,C2,no
minority,girl,9,C2,yes
minority,boy,9,C2,no
minority,girl,8,C2,yes
minority,boy,9,C2,no
unchosen,girl,10,C2,yes
majority,girl,9,C2,no
unchosen,boy,9,C2,yes
majority,boy,5,C2,yes
minority,boy,7,C2,no
unchosen,girl,6,C2,yes
minority,boy,7,C2,yes
majority,boy,10,C2,yes
unchosen,girl,5,C2,yes
majority,boy,9,C2,no
majority,girl,5,C2,no
majority,boy,9,C2,no
minority,girl,8,C2,yes
majority,boy,10,C2,yes
unchosen,boy,7,C2,yes
majority,boy,5,C2,no
minority,girl,9,C2,no
majority,boy,5,C2,yes
minority,girl,5,C2,no
majority,boy,7,C2,yes
majority,girl,7,C2,no
minority,girl,8,C2,no
majority,girl,8,C2,yes
majority,girl,7,C2,no
majority,boy,7,C2,no
minority,boy,9,C2,no
majority,girl,8,C2,yes
minority,girl,6,C2,yes
majority,boy,9,C2,yes
majority,boy,6,C2,no
majority,boy,8,C2,yes
minority,boy,9,C2,no
majority,boy,7,C2,no
majority,girl,5,C1,yes
majority,boy,8,C1,no
majority,girl,6,C1,yes
unchosen,boy,5,C1,no
unchosen,girl,9,C1,yes
minority,girl,5,C1,yes
minority,girl,7,C1,no
minority,girl,8,C1,no
majority,girl,5,C1,no
minority,boy,8,C1,yes
majority,girl,5,C1,yes
majority,boy,11,C1,no
unchosen,girl,9,C1,no
majority,girl,11,C1,yes
majority,girl,6,C1,yes
majority,girl,4,C1,no
unchosen,boy,8,C1,no
majority,boy,8,C1,yes
majority,girl,5,C1,no
minority,girl,11,C1,no
majority,boy,11,C1,yes
minority,boy,6,C1,no
minority,boy,7,C1,no
minority,boy,10,C1,no
unchosen,boy,5,C1,yes
majority,boy,8,C1,no
minority,girl,4,C1,yes
minority,girl,8,C1,no
unchosen,boy,5,C1,yes
minority,boy,5,C1,no
majority,boy,7,C1,yes
minority,boy,7,C1,no
majority,boy,4,C1,yes
majority,girl,9,C1,yes
minority,girl,7,C1,yes
unchosen,girl,5,C1,no
majority,boy,8,C1,yes
