Total_Points,Section,Grade
340,Regular,B
322,Regular,B
302,Regular,C
382,Regular,A
304,Regular,C
349,Regular,B
360,Regular,A
347,Regular,B
376,Regular,A
364,Regular,A
332,Regular,B
310,Regular,C
324,Regular,B
353,Regular,B
361,Regular,A
265,Regular,D
377,Regular,A
332,Regular,B
275,Regular,D
322,Regular,B
352,Regular,B
368,Regular,A
317,Regular,C
352,Regular,B
341,Regular,B
337,Regular,B
378,Regular,A
296,Regular,C
366,Regular,A
289,Sports,C
315,Sports,C
284,Sports,C
203,Sports,F
292,Sports,C
300,Sports,C
199,Sports,F
249,Sports,D
337,Sports,B
237,Sports,F
339,Sports,B
346,Sports,B
360,Sports,A
303,Sports,C
397,Sports,A
367,Sports,A
370,Sports,A
336,Sports,B
365,Sports,A
373,Sports,A
332,Sports,B
242,Sports,D
236,Sports,F
286,Sports,C
336,Sports,B
302,Sports,C
324,Sports,B
284,Sports,C
