                                                    Obs    Additive    y    freq
                                                      1        1       1      0 
                                                      2        1       2      0 
                                                      3        1       3      1 
                                                      4        1       4      7 
                                                      5        1       5      8 
                                                      6        1       6      8 
                                                      7        1       7     19 
                                                      8        1       8      8 
                                                      9        1       9      1 
                                                     10        2       1      6 
                                                     11        2       2      9 
                                                     12        2       3     12 
                                                     13        2       4     11 
                                                     14        2       5      7 
                                                     15        2       6      6 
                                                     16        2       7      1 
                                                     17        2       8      0 
                                                     18        2       9      0 
                                                     19        3       1      1 
                                                     20        3       2      1 
                                                     21        3       3      6 
                                                     22        3       4      8 
                                                     23        3       5     23 
                                                     24        3       6      7 
                                                     25        3       7      5 
                                                     26        3       8      1 
                                                     27        3       9      0 
                                                     28        4       1      0 
                                                     29        4       2      0 
                                                     30        4       3      0 
                                                     31        4       4      1 
                                                     32        4       5      3 
                                                     33        4       6      7 
                                                     34        4       7     14 
                                                     35        4       8     16 
                                                     36        4       9     11 
