count,yy,mm,the_date
112,1949,Jan,1949-01-15
118,1949,Feb,1949-02-15
132,1949,Mar,1949-03-15
129,1949,Apr,1949-04-15
121,1949,May,1949-05-15
135,1949,Jun,1949-06-15
148,1949,Jul,1949-07-15
148,1949,Aug,1949-08-15
136,1949,Sep,1949-09-15
119,1949,Oct,1949-10-15
104,1949,Nov,1949-11-15
118,1949,Dec,1949-12-15
115,1950,Jan,1950-01-15
126,1950,Feb,1950-02-15
141,1950,Mar,1950-03-15
135,1950,Apr,1950-04-15
125,1950,May,1950-05-15
149,1950,Jun,1950-06-15
170,1950,Jul,1950-07-15
170,1950,Aug,1950-08-15
158,1950,Sep,1950-09-15
133,1950,Oct,1950-10-15
114,1950,Nov,1950-11-15
140,1950,Dec,1950-12-15
145,1951,Jan,1951-01-15
150,1951,Feb,1951-02-15
178,1951,Mar,1951-03-15
163,1951,Apr,1951-04-15
172,1951,May,1951-05-15
178,1951,Jun,1951-06-15
199,1951,Jul,1951-07-15
199,1951,Aug,1951-08-15
184,1951,Sep,1951-09-15
162,1951,Oct,1951-10-15
146,1951,Nov,1951-11-15
166,1951,Dec,1951-12-15
171,1952,Jan,1952-01-15
180,1952,Feb,1952-02-15
193,1952,Mar,1952-03-15
181,1952,Apr,1952-04-15
183,1952,May,1952-05-15
218,1952,Jun,1952-06-15
230,1952,Jul,1952-07-15
242,1952,Aug,1952-08-15
209,1952,Sep,1952-09-15
191,1952,Oct,1952-10-15
172,1952,Nov,1952-11-15
194,1952,Dec,1952-12-15
196,1953,Jan,1953-01-15
196,1953,Feb,1953-02-15
236,1953,Mar,1953-03-15
235,1953,Apr,1953-04-15
229,1953,May,1953-05-15
243,1953,Jun,1953-06-15
264,1953,Jul,1953-07-15
272,1953,Aug,1953-08-15
237,1953,Sep,1953-09-15
211,1953,Oct,1953-10-15
180,1953,Nov,1953-11-15
201,1953,Dec,1953-12-15
204,1954,Jan,1954-01-15
188,1954,Feb,1954-02-15
235,1954,Mar,1954-03-15
227,1954,Apr,1954-04-15
234,1954,May,1954-05-15
264,1954,Jun,1954-06-15
302,1954,Jul,1954-07-15
293,1954,Aug,1954-08-15
259,1954,Sep,1954-09-15
229,1954,Oct,1954-10-15
203,1954,Nov,1954-11-15
229,1954,Dec,1954-12-15
242,1955,Jan,1955-01-15
233,1955,Feb,1955-02-15
267,1955,Mar,1955-03-15
269,1955,Apr,1955-04-15
270,1955,May,1955-05-15
315,1955,Jun,1955-06-15
364,1955,Jul,1955-07-15
347,1955,Aug,1955-08-15
312,1955,Sep,1955-09-15
274,1955,Oct,1955-10-15
237,1955,Nov,1955-11-15
278,1955,Dec,1955-12-15
284,1956,Jan,1956-01-15
277,1956,Feb,1956-02-15
317,1956,Mar,1956-03-15
313,1956,Apr,1956-04-15
318,1956,May,1956-05-15
374,1956,Jun,1956-06-15
413,1956,Jul,1956-07-15
405,1956,Aug,1956-08-15
355,1956,Sep,1956-09-15
306,1956,Oct,1956-10-15
271,1956,Nov,1956-11-15
306,1956,Dec,1956-12-15
315,1957,Jan,1957-01-15
301,1957,Feb,1957-02-15
356,1957,Mar,1957-03-15
348,1957,Apr,1957-04-15
355,1957,May,1957-05-15
422,1957,Jun,1957-06-15
465,1957,Jul,1957-07-15
467,1957,Aug,1957-08-15
404,1957,Sep,1957-09-15
347,1957,Oct,1957-10-15
305,1957,Nov,1957-11-15
336,1957,Dec,1957-12-15
340,1958,Jan,1958-01-15
318,1958,Feb,1958-02-15
362,1958,Mar,1958-03-15
348,1958,Apr,1958-04-15
363,1958,May,1958-05-15
435,1958,Jun,1958-06-15
491,1958,Jul,1958-07-15
505,1958,Aug,1958-08-15
404,1958,Sep,1958-09-15
359,1958,Oct,1958-10-15
310,1958,Nov,1958-11-15
337,1958,Dec,1958-12-15
360,1959,Jan,1959-01-15
342,1959,Feb,1959-02-15
406,1959,Mar,1959-03-15
396,1959,Apr,1959-04-15
420,1959,May,1959-05-15
472,1959,Jun,1959-06-15
548,1959,Jul,1959-07-15
559,1959,Aug,1959-08-15
463,1959,Sep,1959-09-15
407,1959,Oct,1959-10-15
362,1959,Nov,1959-11-15
405,1959,Dec,1959-12-15
417,1960,Jan,1960-01-15
391,1960,Feb,1960-02-15
419,1960,Mar,1960-03-15
461,1960,Apr,1960-04-15
472,1960,May,1960-05-15
535,1960,Jun,1960-06-15
622,1960,Jul,1960-07-15
606,1960,Aug,1960-08-15
508,1960,Sep,1960-09-15
461,1960,Oct,1960-10-15
390,1960,Nov,1960-11-15
432,1960,Dec,1960-12-15
