name,ant,bee,cat,caterpillar,chimpanzee,cow,duck,eagle,elephant,fly,frog,herring,human,lion,lizard,lobster,rabbit,salmon,spider,whale
ant,0,2,4,2,4,3,3,5,3,2,3,1,4,3,2,1,3,1,2,3
bee,2,0,4,2,4,3,3,5,5,2,5,3,4,3,4,3,3,3,2,5
cat,4,4,0,2,2,1,3,3,3,4,3,3,2,1,2,3,1,3,2,3
caterpillar,2,2,2,0,4,3,5,5,5,2,3,3,4,3,2,1,3,3,0,5
chimpanzee,4,4,2,4,0,1,3,3,1,6,3,3,0,1,4,5,1,3,4,1
cow,3,3,1,3,1,0,2,4,2,5,4,2,1,0,3,4,0,2,3,2
duck,3,3,3,5,3,2,0,2,2,3,4,2,3,2,3,4,2,2,5,2
eagle,5,5,3,5,3,4,2,0,2,3,2,4,3,4,3,4,4,4,5,2
elephant,3,5,3,5,1,2,2,2,0,5,2,2,1,2,3,4,2,2,5,0
fly,2,2,4,2,6,5,3,3,5,0,3,3,6,5,2,1,5,3,2,5
frog,3,5,3,3,3,4,4,2,2,3,0,2,3,4,1,2,4,2,3,2
herring,1,3,3,3,3,2,2,4,2,3,2,0,3,2,1,2,2,0,3,2
human,4,4,2,4,0,1,3,3,1,6,3,3,0,1,4,5,1,3,4,1
lion,3,3,1,3,1,0,2,4,2,5,4,2,1,0,3,4,0,2,3,2
lizard,2,4,2,2,4,3,3,3,3,2,1,1,4,3,0,1,3,1,2,3
lobster,1,3,3,1,5,4,4,4,4,1,2,2,5,4,1,0,4,2,1,4
rabbit,3,3,1,3,1,0,2,4,2,5,4,2,1,0,3,4,0,2,3,2
salmon,1,3,3,3,3,2,2,4,2,3,2,0,3,2,1,2,2,0,3,2
spider,2,2,2,0,4,3,5,5,5,2,3,3,4,3,2,1,3,3,0,5
whale,3,5,3,5,1,2,2,2,0,5,2,2,1,2,3,4,2,2,5,0
