yeast,temp,height
yeast0.75,temp350,1.375
yeast0.75,temp350,1.25
yeast0.75,temp350,1.25
yeast0.75,temp350,1.125
yeast0.75,temp350,1.375
yeast0.75,temp350,1.1875
yeast0.75,temp350,1.25
yeast0.75,temp350,1.375
yeast0.75,temp425,1.1875
yeast0.75,temp425,1.125
yeast0.75,temp425,1.187
yeast0.75,temp425,1
yeast0.75,temp425,1.125
yeast0.75,temp425,1.1875
yeast0.75,temp425,1.0625
yeast0.75,temp425,1.0625
yeast1,temp350,1.4375
yeast1,temp350,1.5
yeast1,temp350,1.5625
yeast1,temp350,1.75
yeast1,temp350,1.75
yeast1,temp350,1.4375
yeast1,temp350,1.5
yeast1,temp350,1.6875
yeast1,temp425,1.25
yeast1,temp425,1.125
yeast1,temp425,1.25
yeast1,temp425,1.3125
yeast1,temp425,1.375
yeast1,temp425,1.3125
yeast1,temp425,1.1875
yeast1,temp425,1.25
yeast1.25,temp350,1.75
yeast1.25,temp350,1.8135
yeast1.25,temp350,1.75
yeast1.25,temp350,1.875
yeast1.25,temp350,1.75
yeast1.25,temp350,1.9375
yeast1.25,temp350,1.8125
yeast1.25,temp350,1.75
yeast1.25,temp425,1.5
yeast1.25,temp425,1.625
yeast1.25,temp425,1.5625
yeast1.25,temp425,1.6875
yeast1.25,temp425,1.625
yeast1.25,temp425,1.5
yeast1.25,temp425,1.625
yeast1.25,temp425,1.8125
