Monoxide,Site,site
0.1059999987,1,Site1
0.1270000041,1,Site1
0.1319999993,1,Site1
0.1049999967,1,Site1
0.1169999987,1,Site1
0.1089999974,1,Site1
0.1070000008,1,Site1
0.1089999974,1,Site1
0.1220000014,2,Site2
0.1190000027,2,Site2
0.1150000021,2,Site2
0.1199999973,2,Site2
0.1169999987,2,Site2
0.1350000054,2,Site2
0.1180000007,2,Site2
0.1420000046,2,Site2
0.1190000027,3,Site3
0.1099999994,3,Site3
0.1059999987,3,Site3
0.1080000028,3,Site3
0.1049999967,3,Site3
0.1209999993,3,Site3
0.1089999974,3,Site3
0.1340000033,3,Site3
