eat_carrots,Product,Preference
1,Bolero_E,4
1,Bolero_L,5
1,Major_E,4
1,Major_L,7
1,Navar_E,5
1,Navar_L,6
1,Nelson_E,5
1,Nelson_L,6
1,Turbo_E,5
1,Turbo_L,6
1,Yukon_E,4
1,Yukon_L,5
1,Bolero_E,6
1,Bolero_L,6
1,Major_E,5
1,Major_L,5
1,Navar_E,5
1,Navar_L,5
1,Nelson_E,5
1,Nelson_L,4
1,Turbo_E,6
1,Turbo_L,3
1,Yukon_E,6
1,Yukon_L,5
1,Bolero_E,4
1,Bolero_L,5
1,Major_E,4
1,Major_L,5
1,Navar_E,5
1,Navar_L,5
1,Nelson_E,6
1,Nelson_L,7
1,Turbo_E,4
1,Turbo_L,7
1,Yukon_E,5
1,Yukon_L,5
1,Bolero_E,5
1,Bolero_L,5
1,Major_E,3
1,Major_L,3
1,Navar_E,7
1,Navar_L,4
1,Nelson_E,6
1,Nelson_L,6
1,Turbo_E,3
1,Turbo_L,5
1,Yukon_E,4
1,Yukon_L,6
1,Bolero_E,7
1,Bolero_L,5
1,Major_E,4
1,Major_L,6
1,Navar_E,4
1,Navar_L,4
1,Nelson_E,4
1,Nelson_L,4
1,Turbo_E,4
1,Turbo_L,7
1,Yukon_E,4
1,Yukon_L,4
1,Bolero_E,6
1,Bolero_L,7
1,Major_E,1
1,Major_L,6
1,Navar_E,1
1,Navar_L,7
1,Nelson_E,6
1,Nelson_L,4
1,Turbo_E,1
1,Turbo_L,5
1,Yukon_E,6
1,Yukon_L,6
1,Bolero_E,3
1,Bolero_L,6
1,Major_E,4
1,Major_L,5
1,Navar_E,3
1,Navar_L,5
1,Nelson_E,4
1,Nelson_L,4
1,Turbo_E,3
1,Turbo_L,5
1,Yukon_E,4
1,Yukon_L,5
1,Bolero_E,7
1,Bolero_L,4
1,Major_E,7
1,Major_L,6
1,Navar_E,7
1,Navar_L,6
1,Nelson_E,5
1,Nelson_L,6
1,Turbo_E,2
1,Turbo_L,5
1,Yukon_E,7
1,Yukon_L,6
1,Bolero_E,5
1,Bolero_L,4
1,Major_E,6
1,Major_L,5
1,Navar_E,7
1,Navar_L,5
1,Nelson_E,3
1,Nelson_L,3
1,Turbo_E,6
1,Turbo_L,4
1,Yukon_E,7
1,Yukon_L,4
1,Bolero_E,4
1,Bolero_L,4
1,Major_E,5
1,Major_L,5
1,Navar_E,5
1,Navar_L,5
1,Nelson_E,6
1,Nelson_L,3
1,Turbo_E,5
1,Turbo_L,6
1,Yukon_E,6
1,Yukon_L,6
1,Bolero_E,6
1,Bolero_L,6
1,Major_E,5
1,Major_L,5
1,Navar_E,6
1,Navar_L,4
1,Nelson_E,5
1,Nelson_L,3
1,Turbo_E,5
1,Turbo_L,7
1,Yukon_E,5
1,Yukon_L,4
1,Bolero_E,5
1,Bolero_L,6
1,Major_E,5
1,Major_L,4
1,Navar_E,4
1,Navar_L,5
1,Nelson_E,5
1,Nelson_L,6
1,Turbo_E,5
1,Turbo_L,5
1,Yukon_E,4
1,Yukon_L,6
1,Bolero_E,4
1,Bolero_L,5
1,Major_E,4
1,Major_L,5
1,Navar_E,3
1,Navar_L,5
1,Nelson_E,4
1,Nelson_L,5
1,Turbo_E,4
1,Turbo_L,5
1,Yukon_E,4
1,Yukon_L,5
1,Bolero_E,6
1,Bolero_L,6
1,Major_E,6
1,Major_L,5
1,Navar_E,6
1,Navar_L,6
1,Nelson_E,6
1,Nelson_L,6
1,Turbo_E,5
1,Turbo_L,6
1,Yukon_E,5
1,Yukon_L,7
2,Bolero_E,4
2,Bolero_L,5
2,Major_E,4
2,Major_L,7
2,Navar_E,5
2,Navar_L,5
2,Nelson_E,6
2,Nelson_L,6
2,Turbo_E,6
2,Turbo_L,4
2,Yukon_E,5
2,Yukon_L,5
1,Bolero_E,3
1,Bolero_L,5
1,Major_E,6
1,Major_L,5
1,Navar_E,4
1,Navar_L,3
1,Nelson_E,5
1,Nelson_L,3
1,Turbo_E,4
1,Turbo_L,3
1,Yukon_E,4
1,Yukon_L,5
1,Bolero_E,3
1,Bolero_L,4
1,Major_E,2
1,Major_L,5
1,Navar_E,4
1,Navar_L,3
1,Nelson_E,2
1,Nelson_L,5
1,Turbo_E,4
1,Turbo_L,6
1,Yukon_E,5
1,Yukon_L,4
1,Bolero_E,2
1,Bolero_L,4
1,Major_E,4
1,Major_L,7
1,Navar_E,3
1,Navar_L,3
1,Nelson_E,4
1,Nelson_L,3
1,Turbo_E,4
1,Turbo_L,3
1,Yukon_E,2
1,Yukon_L,6
2,Bolero_E,4
2,Bolero_L,6
2,Major_E,4
2,Major_L,4
2,Navar_E,5
2,Navar_L,5
2,Nelson_E,5
2,Nelson_L,4
2,Turbo_E,5
2,Turbo_L,2
2,Yukon_E,4
2,Yukon_L,4
1,Bolero_E,5
1,Bolero_L,6
1,Major_E,3
1,Major_L,4
1,Navar_E,4
1,Navar_L,4
1,Nelson_E,NA
1,Nelson_L,6
1,Turbo_E,5
1,Turbo_L,2
1,Yukon_E,4
1,Yukon_L,5
1,Bolero_E,7
1,Bolero_L,6
1,Major_E,4
1,Major_L,4
1,Navar_E,4
1,Navar_L,5
1,Nelson_E,5
1,Nelson_L,7
1,Turbo_E,7
1,Turbo_L,7
1,Yukon_E,6
1,Yukon_L,6
2,Bolero_E,5
2,Bolero_L,5
2,Major_E,4
2,Major_L,4
2,Navar_E,4
2,Navar_L,5
2,Nelson_E,4
2,Nelson_L,5
2,Turbo_E,4
2,Turbo_L,5
2,Yukon_E,4
2,Yukon_L,5
2,Bolero_E,5
2,Bolero_L,5
2,Major_E,3
2,Major_L,4
2,Navar_E,4
2,Navar_L,5
2,Nelson_E,4
2,Nelson_L,5
2,Turbo_E,4
2,Turbo_L,5
2,Yukon_E,5
2,Yukon_L,5
1,Bolero_E,3
1,Bolero_L,5
1,Major_E,4
1,Major_L,4
1,Navar_E,4
1,Navar_L,5
1,Nelson_E,5
1,Nelson_L,6
1,Turbo_E,4
1,Turbo_L,4
1,Yukon_E,2
1,Yukon_L,5
4,Bolero_E,4
4,Bolero_L,4
4,Major_E,4
4,Major_L,4
4,Navar_E,4
4,Navar_L,5
4,Nelson_E,4
4,Nelson_L,4
4,Turbo_E,4
4,Turbo_L,4
4,Yukon_E,4
4,Yukon_L,6
1,Bolero_E,6
1,Bolero_L,6
1,Major_E,5
1,Major_L,4
1,Navar_E,6
1,Navar_L,4
1,Nelson_E,5
1,Nelson_L,3
1,Turbo_E,3
1,Turbo_L,5
1,Yukon_E,4
1,Yukon_L,3
1,Bolero_E,3
1,Bolero_L,6
1,Major_E,4
1,Major_L,4
1,Navar_E,4
1,Navar_L,4
1,Nelson_E,4
1,Nelson_L,5
1,Turbo_E,4
1,Turbo_L,3
1,Yukon_E,5
