Minutes,Chimp,Sign
12,Booee,Listen
15,Booee,Drink
14,Booee,Shoe
10,Booee,Key
10,Booee,More
80,Booee,Food
80,Booee,Fruit
78,Booee,Hat
115,Booee,Look
129,Booee,String
10,Cindy,Listen
25,Cindy,Drink
18,Cindy,Shoe
25,Cindy,Key
15,Cindy,More
55,Cindy,Food
20,Cindy,Fruit
99,Cindy,Hat
54,Cindy,Look
476,Cindy,String
2,Bruno,Listen
36,Bruno,Drink
60,Bruno,Shoe
40,Bruno,Key
225,Bruno,More
14,Bruno,Food
177,Bruno,Fruit
178,Bruno,Hat
345,Bruno,Look
287,Bruno,String
15,Thelma,Listen
18,Thelma,Drink
20,Thelma,Shoe
40,Thelma,Key
24,Thelma,More
190,Thelma,Food
195,Thelma,Fruit
297,Thelma,Hat
420,Thelma,Look
372,Thelma,String
