Country,Code,LandArea,Population,Energy,Rural,Military,Health,HIV,Internet,BirthRate,ElderlyPop,LifeExpectancy,CO2,GDP,Cell,Electricity,Electric_use
Algeria,ALG,2381740,34.373,37069,34.8,13,10.6,0.1,10.2,20.8,4.6,72.4,3.232960395,4494.886728,92.42126075,970.9824571,low
Armenia,ARM,28480,3.077,2997,36.1,16.1,7.2,0.1,6.2,15.3,11.6,73.5,1.801888352,3030.714413,125.0085703,1550.41574,low
Austria,AUT,82450,8.337,33246,32.8,2.4,15.8,0.3,72.9,9.3,17,80.2,8.123596515,45209.39614,145.9913211,7944.389156,high
Azerbaijan,AZE,82620,8.68,13367,48.1,22.9,2.5,0.1,28.2,17.8,6.8,70.2,5.379109136,5722.216045,100.5754685,1620.51603,low
Bangladesh,BAN,130170,160,27944,72.9,10.8,7.4,0.1,0.3,21.4,3.8,66.1,0.319820179,674.9316307,46.16922196,251.6286711,low
Belarus,BLR,202900,9.681,28145,26.5,4.3,8.2,0.2,32.1,11.1,13.8,70.5,6.541940221,5765.041713,108.8762447,3298.622068,moderate
Belgium,BEL,30280,10.708,58583,2.6,2.7,14.8,0.2,70.5,11.7,17.2,80.4,9.792729356,43144.34344,111.7185713,7903.029252,high
Benin,BEN,110620,8.662,3005,58.8,6.8,8.8,1.2,1.8,39.4,3.2,61.4,0.486681754,749.5069822,79.94350666,91.26027652,low
Bulgaria,BUL,108610,7.623,19779,28.9,7.9,11.2,0.1,39.5,10.2,17.3,73,6.629407764,6325.392341,140.3163061,4400.846867,moderate
Cambodia,CAM,176520,14.562,5220,78.4,13.9,9,0.6,0.5,24.7,3.4,61,0.332938112,795.166471,57.65042433,130.7778427,low
Cameroon,CMR,472710,19.088,7102,43.2,0,6.1,5.3,3.8,36.9,3.6,51.1,0.282666707,1142.59177,41.61282816,271.2381958,low
Canada,CAN,9093510,33.311,266771,19.6,7.4,17.2,0.2,75.3,11.3,13.6,81,16.33348118,46235.64305,70.47273967,15466.70263,high
Chile,CHI,743530,16.804,31446,11.6,17.9,15.6,0.4,32.5,14.9,8.8,78.6,4.352866791,12431.03139,116.0021265,3283.018603,moderate
Colombia,COL,1109500,45.012,30770,25.5,18.4,18.3,0.5,38.5,20.4,5.4,73,1.504254587,6225.07784,93.75846004,1047.048537,low
Cote d'Ivoire,CIV,318000,20.591,10278,51.2,8.8,4.6,3.7,3.2,35,3.8,57.4,0.369461653,1154.144866,75.54033378,203.4622589,low
Croatia,CRO,55960,4.434,9075,42.7,5.4,17.6,0.1,44.1,9.9,17.2,75.9,5.255702526,13754.43938,143.8036575,3711.833479,moderate
Czech Republic,CZE,77250,10.424,44632,26.5,3.8,13.3,0.1,62.3,11.5,14.7,77,11.22331772,18245.17392,136.1626931,6114.037542,high
Denmark,DEN,42430,5.494,19010,13.3,3.8,15.3,0.2,84.5,11.8,15.9,78.4,8.377810737,55890.68226,124.5449293,6246.497661,high
Dominican Republic,DOM,48320,9.953,8162,31,3.8,10.4,0.9,20.8,22.5,5.9,72.6,2.236635417,5214.536979,89.57888937,1358.191386,low
