state,state_abbr,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Alabama,AL,22,23,26,27,NA,NA,47,NA,NA,77
Arizona,AZ,34,36,38,37,37,43,43,NA,NA,43
Arkansas,AR,24,29,34,36,NA,NA,36,42,NA,NA
California,CA,142,148,151,NA,NA,NA,160,NA,200,NA
Colorado,CO,29,27,29,42,45,NA,NA,NA,42,NA
Connecticut,CT,2,2,2,4,6,8,8,NA,NA,10
Delaware,DE,14,13,14,16,17,26,31,NA,NA,39
Florida,FL,874,980,1043,1069,1102,1133,1133,NA,1133,NA
Georgia,GA,31,37,49,55,61,73,81,NA,82,NA
Idaho,ID,84,92,95,113,113,128,NA,NA,NA,216
Illinois,IL,26,43,36,NA,NA,NA,NA,NA,NA,100
Indiana,IN,18,15,21,24,28,38,NA,NA,NA,68
Iowa,IA,58,83,100,NA,NA,NA,NA,NA,NA,200
Kansas,KS,7,8,6,9,13,13,NA,NA,NA,23
Kentucky,KY,17,13,21,23,24,27,27,NA,NA,35
Louisiana,LA,124,135,140,182,219,246,228,NA,NA,284
Maine,ME,175,202,216,234,269,290,309,NA,NA,414
Maryland,MD,219,232,260,270,315,319,338,400,NA,NA
Massachusetts,MA,9,9,11,12,12,12,15,NA,NA,25
Michigan,MI,298,291,334,370,376,405,211,NA,NA,482
Minnesota,MN,NA,NA,NA,681,681,NA,NA,NA,1312,NA
Mississippi,MS,16,22,22,25,NA,NA,34,NA,NA,31
Missouri,MO,36,45,53,64,75,NA,NA,NA,NA,123
Montana,MT,187,212,225,229,220,216,NA,NA,NA,325
Nebraska,NE,10,14,13,20,23,29,NA,NA,37,NA
Nevada,NV,2,1,2,1,3,1,2,NA,3,NA
New Hampshire,NH,1,2,3,4,8,7,8,NA,NA,12
New Jersey,NJ,15,16,22,25,33,34,35,NA,53,NA
New Mexico,NM,2,4,3,3,3,3,3,NA,4,NA
New York,NY,35,40,45,51,65,70,75,NA,NA,110
North Carolina,NA,15,17,20,33,39,NA,48,60,NA,NA
North Dakota,ND,8,9,9,NA,NA,NA,NA,NA,15,NA
Ohio,OH,38,47,57,63,73,79,88,NA,125,NA
Oklahoma,OK,24,26,32,31,27,NA,NA,NA,49,NA
Oregon,OR,308,324,343,371,393,401,405,NA,NA,470
Pennsylvania,PA,23,29,43,51,55,64,69,NA,96,NA
Rhode Island,RI,0,0,0,0,0,NA,1,NA,NA,1
South Carolina,NA,114,129,143,153,163,181,181,NA,208,NA
South Dakota,SD,8,13,13,10,6,NA,NA,NA,41,NA
Tennessee,TN,30,38,44,43,29,50,43,NA,NA,120
Texas,TX,52,62,64,78,98,NA,NA,NA,156,NA
Utah,UT,4,4,3,4,4,NA,NA,NA,NA,NA
Vermont,VT,0,0,0,0,0,0,0,NA,NA,1
Virginia,VA,228,260,244,283,312,263,371,NA,485,NA
Washington,WA,582,664,NA,564,658,NA,NA,NA,848,NA
West Virginia,WV,6,6,7,10,12,13,14,NA,19,NA
Wisconsin,WI,645,689,689,770,NA,NA,NA,NA,NA,1065
Wyoming,WY,76,78,97,97,89,NA,NA,95,NA,NA
