cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,134168,ESS6e02_1,6,2.1,101014,1.0105621985,0.895426504,2.282115223,1,2,63,16,35
GB,ESS1-6e01,1,26.11.2014,134169,ESS6e02_1,6,2.1,101048,2.0211243969,1.4888128368,2.282115223,1,2,51,13,75
GB,ESS1-6e01,1,26.11.2014,134170,ESS6e02_1,6,2.1,101055,1.0105621985,0.9071072021,2.282115223,1,1,67,13,39
GB,ESS1-6e01,1,26.11.2014,134171,ESS6e02_1,6,2.1,101089,0.5052810992,0.4535536011,2.282115223,66,1,86,10,77
GB,ESS1-6e01,1,26.11.2014,134172,ESS6e02_1,6,2.1,101097,0.5052810992,0.447713252,2.282115223,2,2,80,9,69
GB,ESS1-6e01,1,26.11.2014,134173,ESS6e02_1,6,2.1,101113,1.0105621985,0.9071072021,2.282115223,1,1,67,21,46
GB,ESS1-6e01,1,26.11.2014,134174,ESS6e02_1,6,2.1,101121,0.5052810992,0.447713252,2.282115223,7,2,69,17,162
GB,ESS1-6e01,1,26.11.2014,134175,ESS6e02_1,6,2.1,101139,0.5052810992,0.5166159107,2.282115223,66,1,36,15,30
GB,ESS1-6e01,1,26.11.2014,134176,ESS6e02_1,6,2.1,101154,1.0105621985,1.0332318215,2.282115223,1,1,50,13,54
GB,ESS1-6e01,1,26.11.2014,134177,ESS6e02_1,6,2.1,101170,1.0105621985,0.895426504,2.282115223,2,2,82,16,37
GB,ESS1-6e01,1,26.11.2014,134178,ESS6e02_1,6,2.1,101188,0.5052810992,0.447713252,2.282115223,2,2,78,11,81
GB,ESS1-6e01,1,26.11.2014,134179,ESS6e02_1,6,2.1,101204,0.5052810992,0.447713252,2.282115223,1,2,80,10,39
GB,ESS1-6e01,1,26.11.2014,134180,ESS6e02_1,6,2.1,102012,1.0105621244,0.8954264384,2.282115223,3,2,61,11,44
GB,ESS1-6e01,1,26.11.2014,134181,ESS6e02_1,6,2.1,102038,0.5052810622,0.4429991965,2.282115223,66,2,23,8,28
GB,ESS1-6e01,1,26.11.2014,134182,ESS6e02_1,6,2.1,102046,0.5052810622,0.4477132192,2.282115223,66,2,80,9,26
GB,ESS1-6e01,1,26.11.2014,134183,ESS6e02_1,6,2.1,102053,1.5158431563,1.3289975632,2.282115223,66,2,16,11,40
GB,ESS1-6e01,1,26.11.2014,134184,ESS6e02_1,6,2.1,102061,1.5158431563,1.1166095232,2.282115223,2,2,49,19,32
GB,ESS1-6e01,1,26.11.2014,134185,ESS6e02_1,6,2.1,102079,0.5052810622,0.4429991965,2.282115223,66,2,20,12,44
GB,ESS1-6e01,1,26.11.2014,134186,ESS6e02_1,6,2.1,102087,1.0105621244,0.9071071357,2.282115223,2,1,57,15,42
GB,ESS1-6e01,1,26.11.2014,134187,ESS6e02_1,6,2.1,102111,0.5052810622,0.4535535678,2.282115223,3,1,76,9,39
GB,ESS1-6e01,1,26.11.2014,134188,ESS6e02_1,6,2.1,102145,0.5052810622,0.4477132192,2.282115223,2,2,73,10,73
GB,ESS1-6e01,1,26.11.2014,134189,ESS6e02_1,6,2.1,102178,0.5052810622,0.5166158729,2.282115223,66,1,47,16,67
GB,ESS1-6e01,1,26.11.2014,134190,ESS6e02_1,6,2.1,102186,1.0105621244,0.8954264384,2.282115223,2,2,70,10,52
GB,ESS1-6e01,1,26.11.2014,134191,ESS6e02_1,6,2.1,102194,0.5052810622,0.3722031818,2.282115223,3,2,38,17,40
GB,ESS1-6e01,1,26.11.2014,134192,ESS6e02_1,6,2.1,102202,1.0105621244,0.8954264384,2.282115223,3,2,66,10,42
GB,ESS1-6e01,1,26.11.2014,134193,ESS6e02_1,6,2.1,103010,1.0105621167,0.7444063584,2.282115223,66,2,40,14,37
GB,ESS1-6e01,1,26.11.2014,134194,ESS6e02_1,6,2.1,103028,0.7900957924,0.7092107588,2.282115223,3,1,76,10,44
GB,ESS1-6e01,1,26.11.2014,134195,ESS6e02_1,6,2.1,103036,0.5052810583,0.4477132157,2.282115223,1,2,78,9,40
GB,ESS1-6e01,1,26.11.2014,134196,ESS6e02_1,6,2.1,103051,1.0105621167,0.9071071294,2.282115223,3,1,84,10,42
GB,ESS1-6e01,1,26.11.2014,134197,ESS6e02_1,6,2.1,103077,1.0105621167,0.8954264322,2.282115223,66,2,59,13,34
GB,ESS1-6e01,1,26.11.2014,134198,ESS6e02_1,6,2.1,103085,0.5052810583,0.4477132157,2.282115223,2,2,81,9,
GB,ESS1-6e01,1,26.11.2014,134199,ESS6e02_1,6,2.1,103093,1.0105621167,0.8954264322,2.282115223,77,2,59,13,47
GB,ESS1-6e01,1,26.11.2014,134200,ESS6e02_1,6,2.1,103101,1.0105621167,1.0332317387,2.282115223,7,1,37,12,33
