Country Region Eco_footprint
Argentina A 2.5
Bolivia A 2.1
Brazil A 2.4
Chile A 3.0
Colombia A 1.8
CostaRica A 2.3
Cuba A 1.8
DominicanRep A 1.5
Ecuador A 2.2
ElSalvador A 1.6
Guatemala A 1.5
Haiti A 0.5
Honduras A 1.8
Jamaica A 1.1
Mexico A 3.4
Nicaragua A 2.0
Panama A 3.2
Paraguay A 3.2
Peru A 1.6
TrinidadTobago A 2.1
Uruguay A 5.5
Venezuela A 2.8
Canada A 7.1
UnitedStates A 9.4
Austria E 5.0
Belgium E 5.1
Bulgaria E 2.7
CzechRepublic E 5.3
Denmark E 8.0
Estonia E 6.4
Finland E 5.2
France E 4.9
Germany E 4.2
Greece E 5.9
Hungary E 3.5
Ireland E 6.3
Italy E 4.8
Latvia E 3.5
Lithuania E 3.2
Netherlands E 4.0
Poland E 4.0
Portugal E 4.4
Romania E 2.9
Slovakia E 3.3
Spain E 5.7
Sweden E 5.1
UnitedKingdom E 5.3
Afghanistan S 0.5
Georgia S 1.1
Iran S 2.7
Iraq S 1.3
Israel S 4.8
Jordan S 1.7
Kazakhstan S 3.4
Kuwait S 8.9
Kyrgyzstan S 1.1
Lebanon S 3.1
Oman S 4.7
SaudiArabia S 2.6
Syria S 2.1
Tajikistan S 0.7
Turkey S 2.7
Turkmenistan S 3.9
UnitedArabEmirates S 9.5
Uzbekistan S 1.8
Yemen S 0.9
