Serial_Number,Response,Branch,Occupation,Age,Sex,Pleasant_Ambiance,Comfortable_seating_arrangement,Immediate_attenttion,Good_Response_on_Phone,Errors_in_Passbook_entries,Time_to_issue_cheque_book,Time_to_sanction_loan,Time_to_clear_outstation_cheques,Issue_of_clean_currency_notes,Facility_to_pay_bills,Distance_to_residence,Distance_to_workplace,Courteous_staff_behaviour,Enough_parking_place
1,0,B1,6,5,2,9,5,8,6,8,0,6,4,6,3,10,9,8,-2
2,0,B1,1,5,1,10,8,8,6,10,8,9,6,8,6,8,7,10,10
3,0,B1,0,5,1,4,8,7,8,5,7,4,5,7,6,8,7,9,6
4,0,B1,6,4,2,4,6,6,8,6,4,4,5,6,6,9,6,9,5
5,0,B1,1,2,1,10,8,6,10,8,8,5,7,8,7,10,10,5,8
6,0,B1,2,3,1,7,8,6,7,8,7,7,7,6,7,8,7,8,7
7,0,B1,0,5,2,7,7,5,7,5,8,5,5,5,7,7,6,5,5
8,0,B1,4,1,1,7,7,6,7,7,9,5,4,6,8,9,7,8,7
9,0,B1,0,5,1,6,5,7,7,7,9,5,7,7,7,9,8,8,8
10,0,B1,3,4,1,7,6,5,8,9,7,8,4,5,8,7,9,9,9
11,0,B1,2,4,1,4,3,5,9,5,5,4,4,5,7,9,4,9,7
12,0,B1,1,2,1,9,5,7,7,9,8,4,2,9,8,8,7,10,10
13,0,B1,3,5,1,6,2,10,3,6,10,3,5,4,4,3,5,10,4
14,0,B1,0,5,1,4,10,10,8,9,5,8,3,9,9,9,10,10,6
15,0,B1,6,4,2,10,8,10,9,9,10,6,8,9,6,4,10,9,9
16,0,B1,6,5,2,0,0,0,6,0,0,6,0,6,0,0,9,0,8
17,0,B1,6,4,2,8,5,-1,7,5,8,4,4,6,5,6,5,9,3
18,0,B1,0,5,1,7,6,-3,7,-3,-3,8,7,-3,7,8,-3,8,8
19,0,B1,3,4,1,7,6,7,3,5,8,6,6,5,7,8,6,6,8
20,0,B1,2,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
21,0,B1,2,2,2,10,10,8,7,10,9,8,9,8,9,9,8,5,9
22,0,B1,2,2,2,6,8,9,9,7,6,5,3,5,8,9,7,9,8
23,0,B1,2,3,1,1,2,5,6,5,6,1,2,5,2,6,5,5,6
24,0,B2,6,2,2,6,6,7,8,8,8,5,5,8,7,9,9,9,9
25,0,B2,6,2,2,8,2,2,8,7,5,2,3,4,4,9,6,9,7
26,0,B2,2,4,1,8,6,8,8,6,8,6,6,6,7,8,7,8,5
27,0,B2,2,2,1,8,10,8,10,7,8,6,7,8,6,10,7,8,7
28,0,B2,3,2,1,10,5,7,8,10,6,8,9,9,10,7,9,10,10
29,0,B2,2,4,1,0,5,5,9,8,-1,1,10,6,-1,9,10,10,5
30,0,B2,1,3,1,4,5,9,4,8,6,6,5,7,8,9,8,9,8
31,0,B2,3,3,2,5,5,4,4,7,5,5,7,6,5,8,7,8,8
32,0,B2,2,3,1,10,10,9,10,10,8,6,10,6,7,10,9,7,8
33,0,B2,2,4,1,5,6,5,4,6,5,5,6,4,5,4,2,5,3
