income,height,sex
70,70.5,male
85,63,female
0,70.5,male
0,62.5,female
0,65.75,female
48,73.25,male
0,67.5,male
52,64.75,female
54.1,71.25,male
51,73.5,male
0,67.5,female
84,65.5,male
1,68.5,male
54.6,64.75,female
24,66.25,female
26.5,62.5,female
18,73.5,male
173,69.5,male
0,66.75,female
0,66.25,female
0,69.5,male
0,71.25,male
16.313,65.25,female
20,67,female
60,72.75,male
0,66.75,male
27,68.5,male
45,62,female
45,67.75,female
47,64,female
15,63.5,female
0,65,female
53,66.75,male
0,62.75,female
25,72.25,male
0,65.75,female
35,66.25,female
7.2,68.75,female
0,61.75,female
120,61.5,female
26,61.75,female
60,73.25,male
32,68,female
42,77.5,male
0,61.5,female
7,71,male
0,63.75,female
35,68.75,male
19,62.5,female
0,67.75,male
65,63,female
65,63,female
76,72.5,male
40,71.25,male
25,65,female
30,67.5,male
60,72,male
0,65.25,female
115,62.5,female
26,62.5,female
165,65,female
14,63.75,female
38,68,male
26,69.5,male
7,69.25,male
0,66,male
27,65.5,female
110,68.5,male
67,72.25,male
0,59.75,female
20,65,female
82,66.5,female
26,61.5,female
60,70.5,male
15,69,male
72,70.5,male
97.3,66.25,male
60,68.5,male
50,64.5,female
24,68.25,female
57,68.5,male
44,65.5,female
60,69.5,male
40,69.75,male
0,60.5,female
74,69.25,male
37,63.5,female
9,62.5,female
55,67.75,male
0,80.5,male
98,68.5,male
23,63.75,female
95,66.5,male
0,69.5,male
100,67.25,female
8,60.25,female
135,67.75,male
42,70,male
40,72.25,male
62,65.25,male
28,64.5,female
53,63.5,female
0,69.75,male
30,70.5,male
10,63.5,female
0,64.25,female
15,69.5,female
15,61.75,female
17.275,63.5,female
60,62,male
14.625,65,female
62,69.5,male
2,64.5,female
40,68,male
30,70,male
17,67.25,female
37,66.5,female
0,63.5,female
43,68.25,male
30,65.5,female
120,73,male
60,67.75,male
45,68.25,male
16,66.5,female
2,66.25,female
40,70.5,male
0,61.5,female
0,60.5,female
0,66.5,female
0,72,male
63,59.5,female
5,72.5,male
40,71.5,male
40,66.5,male
18,68.5,female
0,63.5,female
0,71,female
26,65.5,female
30,70.25,male
0,62.5,male
57,69.5,male
5.92,61.75,female
18,61.75,female
150,66.5,female
13.159,66.5,female
32,62.75,female
10.044,69.5,male
21,68.5,male
14.8,63.75,female
4.5,62.5,female
42.2,65.25,female
14.04,64,female
45,61,female
14,68,female
0,65,female
37,69.5,female
70,60,female
72,67,female
62,70.5,male
0,61.5,female
22,61,female
55,71.75,male
72,71.75,male
88,72.25,male
80,69.25,male
0,64.25,female
65,72.5,male
63.5,64.75,female
56,67.25,male
54,65.75,female
0,66.5,male
0,65.25,female
12,57.5,female
0,71.75,male
0,64.75,female
0,61,female
27,67,female
10,74.25,male
85,75.5,male
80,74.25,male
0,67,female
64,69.25,male
0,73.75,male
0,64.25,female
0,65,female
0,64.75,female
54,58.5,female
1.808,61,female
38.91,63.75,female
6,63.75,female
30,62,female
0,64.25,female
125,70,male
14,64.5,female
18,63,female
53.738,73.75,male
127,72.75,male
66,68.5,male
26,67.5,male
160.16,72.5,male
