Initial,Lastname,Country,highjump,800m,longjump
Y,Azizi,(Alg),1.6,141.82,5.88
G,Bacher,(Ita),1.75,129.08,5.84
S,Biswas,(Ind),1.63,142.17,5.64
L,Blonska,(Ukr),1.72,133.52,5.57
S,Braun,(Ger),1.81,139.14,6.22
K,Ertl,(Ger),1.78,136.25,6.22
PG,Ganapathy,(Ind),1.69,140.86,5.96
M,Garcia,(Cub),1.66,139.64,5.92
T,Hautala,(Fin),1.78,134.9,6.12
J,Jamieson,(Aus),1.81,136.57,6.09
S,Kabanova,(Uzb),1.72,140.11,5.22
S,Kazanina,(Kaz),1.75,130.45,5.84
D,Koritskaia,(Rus),1.72,129.77,5.56
D,Lewis,(Gbr),1.75,136.83,6.48
M,Mark,(Tri),1.66,152.36,5.9
D,Nathan,(USA),1.78,136.67,6.06
I,Naumenko,(Kaz),1.84,138.49,5.88
L,Necheporuk,(Ukr),1.72,139.94,5.89
Y,Prokhorova,(Rus),1.81,130.32,6.59
S,Rajamaki,(Fin),1.66,138.47,6.36
N,Roshchupkina,(Rus),1.84,132.24,5.47
N,Sazanovich,(Blr),1.84,136.41,6.5
A,Skujyte,(Lit),1.78,140.25,5.97
N,Teppe,(Fra),1.72,138.56,5.94
VS,Tigau,(Rom),1.72,139.65,6.01
U,Wlodarczyk,(Pol),1.78,132.15,6.31
