driver,qualif,starts,experienced
brayton,231.6040039,13,TRUE
luyendyk,231.0310059,10,TRUE
goodyear,230.7590027,5,TRUE
andretti,229.2940063,10,TRUE
villeneuve,228.3970032,1,FALSE
gugelmin,227.9230042,1,FALSE
gordon,227.5310059,2,FALSE
pruett,227.4029999,3,FALSE
vasser,227.3500061,3,FALSE
matsushita,226.8670044,3,FALSE
fox,226.5879974,7,TRUE
ribeiro,226.4949951,0,FALSE
r.guerrero,226.4019928,10,TRUE
cheever,226.3139954,5,TRUE
fabi,225.9109955,7,TRUE
tracy,225.7949982,3,FALSE
zampedri,225.753006,0,FALSE
sullivan,225.4960022,11,TRUE
ferran,225.4369965,0,FALSE
matsuda,227.8179932,1,FALSE
rahal,227.0809937,12,TRUE
boesel,226.0279999,8,TRUE
lazier,226.0169983,2,FALSE
salazar,225.022995,0,FALSE
fernandez,227.8029938,1,FALSE
bachelart,226.875,1,FALSE
fittipaldi,226.375,0,FALSE
james,225.345993,3,FALSE
c.guerrero,225.8309937,0,FALSE
sharp,225.7109985,1,FALSE
johansson,225.5469971,2,FALSE
jones,225.1349945,3,FALSE
herta,225.5509949,1,FALSE
