tail_length,wing_length,sex
191,284,female
197,285,female
208,288,female
180,273,female
180,275,female
188,280,female
210,283,female
196,288,female
191,271,female
179,257,female
208,289,female
202,285,female
200,272,female
192,282,female
199,280,female
186,266,female
197,285,female
201,295,female
190,282,female
209,305,female
187,285,female
207,297,female
178,268,female
202,271,female
205,285,female
190,280,female
189,277,female
211,310,female
216,305,female
189,274,female
173,271,female
194,280,female
198,300,female
180,272,female
190,292,female
191,286,female
196,285,female
207,286,female
209,303,female
179,261,female
186,262,female
174,245,female
181,250,female
189,262,female
188,258,female
180,278,male
186,277,male
206,308,male
184,290,male
177,273,male
177,284,male
176,267,male
200,281,male
191,287,male
193,271,male
212,302,male
181,254,male
195,297,male
187,281,male
190,284,male
185,282,male
195,285,male
183,276,male
202,308,male
177,254,male
177,268,male
170,260,male
186,274,male
177,272,male
178,266,male
192,281,male
204,276,male
191,290,male
178,265,male
177,275,male
184,277,male
176,281,male
185,287,male
191,295,male
177,267,male
197,310,male
199,299,male
190,273,male
180,278,male
189,280,male
194,290,male
186,287,male
191,286,male
187,288,male
186,275,male
