game recall
simple 24
simple 43
simple 38
simple 65
simple 35
simple 15
simple 44
simple 44
simple 18
simple 27
simple 0
simple 38
simple 50
simple 31
simple 7
simple 46
simple 33
simple 31
simple 0
simple 29
simple 0
simple 0
simple 52
simple 0
simple 29
simple 42
simple 39
simple 26
simple 51
simple 0
simple 42
simple 20
simple 37
simple 51
simple 0
simple 30
simple 43
simple 30
simple 99
simple 39
simple 35
simple 19
simple 24
simple 34
simple 3
simple 60
simple 0
simple 29
simple 40
simple 40
elaborate 39
elaborate 71
elaborate 9
elaborate 86
elaborate 26
elaborate 45
elaborate 0
elaborate 38
elaborate 5
elaborate 53
elaborate 29
elaborate 0
elaborate 62
elaborate 0
elaborate 1
elaborate 35
elaborate 10
elaborate 6
elaborate 33
elaborate 48
elaborate 9
elaborate 26
elaborate 83
elaborate 33
elaborate 12
elaborate 5
elaborate 0
elaborate 0
elaborate 25
elaborate 36
elaborate 39
elaborate 1
elaborate 37
elaborate 2
elaborate 13
elaborate 26
elaborate 7
elaborate 35
elaborate 3
elaborate 8
elaborate 55
elaborate 50
pairwise 5
pairwise 21
pairwise 22
pairwise 3
pairwise 32
pairwise 29
pairwise 32
pairwise 0
pairwise 4
pairwise 41
pairwise 0
pairwise 27
pairwise 5
pairwise 9
pairwise 66
pairwise 54
pairwise 1
pairwise 15
pairwise 0
pairwise 26
pairwise 1
pairwise 30
pairwise 2
pairwise 13
pairwise 0
pairwise 2
pairwise 17
pairwise 14
pairwise 5
pairwise 29
pairwise 0
pairwise 45
pairwise 35
pairwise 7
pairwise 11
pairwise 4
pairwise 9
pairwise 23
pairwise 4
pairwise 0
pairwise 8
pairwise 2
pairwise 18
pairwise 0
pairwise 5
pairwise 21
pairwise 14
