plant,pdias,longindex,durflow,height,begflow,mycor,vegaer,vegsout,autopoll,insects,wind,lign,piq,ros,semiros,leafy,suman,winan,monocarp,polycarp,seasaes,seashiv,seasver,everalw,everparti,elaio,endozoo,epizoo,aquat,windgl,unsp
Cirvu,2.37,0.388888889,4,5,7,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Vicse,21.4,0.111111111,4,4,5,2,0,2,2,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Tarsp,0.61,0.472222222,8,3,3,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Digpu,0.07,0.8,4,4,6,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Cirar,1.41,0.520833333,3,4,7,2,0,2,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Elyca,4.13,0.5,1,4,7,2,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Poaan,0.3,0.888888889,12,2,3,2,0,0,3,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Steme,0.48,0.802631579,12,2,3,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Ulmsp,9,0,2,8,2,2,0,1,0,1,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Gerro,1.6,0.363636364,5,3,5,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Fagsy,254.01,0,2,8,4,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Ranre,1.82,0.723684211,3,2,5,2,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
Arrel,3.29,0.206896552,4,5,6,1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Dacgl,0.99,0.425531915,3,3,5,2,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Allpe,2.33,0.5,3,5,4,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Lapco,1.04,0.928571429,3,3,7,2,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Stasy,1.55,0.4,3,3,6,2,0,2,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Agrst,0.08,0.488888889,2,2,7,1,2,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Chema,0.83,1,6,4,4,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Plama,0.26,0.78125,5,2,6,2,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
