Pu238,Pu239,Pu240,Pu241,Pu242,sample_id
0.126,75.804,21.204,2.18,0.6859999999999924,S01
0.133,75.515,21.408,2.24,0.7040000000000024,S02
0.127,75.175,21.668,2.305,0.7250000000000081,S03
0.156,78.872,18.428,1.906,0.6379999999999935,S04
0.503,73.317,20.223,4.128,1.8290000000000077,S05
0.113,79.116,18.548,1.69,0.5330000000000026,S06
0.129,75.751,21.162,2.26,0.6979999999999915,S07
0.124,75.326,21.557,2.282,0.7110000000000127,S08
1.022,63.287,24.493,6.99,4.207999999999997,S09
1.412,59.553,25.576,8.027,5.431999999999997,S10
1.533,58.688,25.719,8.279,5.780999999999995,S11
1.534,58.758,25.692,8.261,5.754999999999992,S12
1.437,59.728,25.146,8.377,5.311999999999999,S13
1.439,59.544,25.126,8.569,5.322000000000008,S14
1.375,59.877,25.128,8.428,5.191999999999997,S15
1.153,61.182,25.1,7.802,4.762999999999991,S16
0.201,78.244,18.488,2.351,0.7160000000000073,S17
0.176,78.166,18.629,2.365,0.6639999999999997,S18
0.239,74.254,21.515,2.901,1.0909999999999904,S19
0.102,79.84,17.872,1.674,0.5119999999999929,S20
1.07,62.455,24.656,7.512,4.30700000000001,S21
0.851,73.189,18.285,5.597,2.0780000000000074,S22
0.125,75.968,20.794,2.407,0.705999999999996,S23
0.142,75.957,20.867,2.341,0.6930000000000094,S24
0.352,72.885,21.718,3.618,1.4269999999999912,S25
0.351,72.907,21.721,3.601,1.4200000000000044,S26
0.346,72.919,21.713,3.6,1.4219999999999984,S27
0.217,76.089,20.225,2.556,0.9130000000000011,S28
1.068,70.129,18.573,7.689,2.540999999999997,S29
1.171,69.273,18.633,8.3,2.6229999999999976,S30
1.213,69.147,18.64,8.363,2.6370000000000005,S31
1.226,68.294,18.869,8.826,2.7850000000000037,S32
1.111,71.076,18.122,7.248,2.4430000000000023,S33
0.183,75.714,20.75,2.488,0.8649999999999944,S34
0.162,76.15,20.345,2.524,0.8189999999999893,S35
0.113,77.845,19.108,2.275,0.6590000000000011,S36
1.309,62.382,22.754,9.311,4.244000000000003,S37
1.638,60.112,23.32,9.972,4.957999999999993,S38
1.589,60.519,23.128,9.97,4.794000000000002,S39
1.411,61.585,23.133,9.339,4.531999999999998,S40
1.457,61.332,23.239,9.321,4.651000000000005,S41
0.397,72.291,21.761,3.836,1.7149999999999985,S42
0.328,73.451,21.429,3.419,1.373000000000005,S43
0.242,74.888,20.939,2.875,1.0559999999999903,S44
1.367,60.507,23.603,9.839,4.683999999999996,S45
