rank player team position completions attempts percent.complete attempts.game yards average.yards yards.per.game td int first.down first.down.percent long twenty.plus forty.plus sacks rating
1   PeytonManning 	DEN 	QB 	262 	369 	71.0 	41.0 	3249 	8.8 	361.0 	33 	6 	169 	45.8 	78T 	41 	8 	13 	121.0
2 	DrewBrees 	NO 	QB 	247 	363 	68.0 	40.3 	3064 	8.4 	340.4 	25 	7 	139 	38.3 	69T 	39 	9 	21 	108.9
3 	AndyDalton 	CIN 	QB 	239 	383 	62.4 	38.3 	2861 	7.5 	286.1 	18 	13 	135 	35.2 	82T 	39 	12 	26 	86.7
4 	MatthewStafford 	DET 	QB 	229 	373 	61.4 	41.4 	2836 	7.6 	315.1 	19 	7 	134 	35.9 	87 	36 	9 	10 	94.1
5 	PhilipRivers 	SD 	QB 	232 	324 	71.6 	36.0 	2691 	8.3 	299.0 	18 	7 	142 	43.8 	56T 	37 	3 	16 	105.9
6 	TonyRomo 	DAL 	QB 	239 	370 	64.6 	37.0 	2681 	7.2 	268.1 	21 	6 	133 	35.9 	82T 	29 	6 	22 	98.3
7 	MattRyan 	ATL 	QB 	248 	368 	67.4 	40.9 	2614 	7.1 	290.4 	16 	10 	132 	35.9 	81T 	30 	7 	16 	91.0
8 	BenRoethlisberger 	PIT 	QB 	218 	338 	64.5 	37.6 	2534 	7.5 	281.6 	13 	10 	117 	34.6 	55T 	39 	5 	35 	87.6
9 	RobertGriffinIII 	WAS 	QB 	205 	337 	60.8 	37.4 	2450 	7.3 	272.2 	12 	9 	125 	37.1 	45T 	24 	2 	18 	83.8
10 	JoeFlacco 	BAL 	QB 	204 	346 	59.0 	38.4 	2307 	6.7 	256.3 	12 	11 	106 	30.6 	74 	31 	10 	30 	77.3
11 	EliManning 	NYG 	QB 	183 	329 	55.6 	36.6 	2307 	7.0 	256.3 	11 	16 	108 	32.8 	70T 	33 	5 	22 	68.5
12 	TomBrady 	NE 	QB 	194 	340 	57.1 	37.8 	2256 	6.6 	250.7 	13 	6 	110 	32.4 	81T 	27 	5 	26 	82.7
13 	AaronRodgers 	GB 	QB 	168 	251 	66.9 	31.4 	2218 	8.8 	277.2 	15 	4 	94 	37.5 	83T 	30 	6 	18 	108.0
14 	RyanTannehill 	MIA 	QB 	202 	331 	61.0 	36.8 	2206 	6.7 	245.1 	13 	10 	111 	33.5 	67 	23 	7 	37 	81.2
15 	AndrewLuck 	IND 	QB 	183 	311 	58.8 	34.6 	2198 	7.1 	244.2 	14 	6 	105 	33.8 	73T 	29 	6 	22 	87.5
16 	CarsonPalmer 	ARI 	QB 	194 	316 	61.4 	35.1 	2154 	6.8 	239.3 	12 	15 	107 	33.9 	75T 	19 	4 	24 	74.5
17 	RussellWilson 	SEA 	QB 	163 	257 	63.4 	25.7 	2132 	8.3 	213.2 	17 	6 	95 	37.0 	80T 	33 	6 	28 	101.8
18 	GenoSmith 	NYJ 	QB 	158 	272 	58.1 	30.2 	1997 	7.3 	221.9 	8 	13 	90 	33.1 	69T 	29 	6 	30 	71.0
19 	CamNewton 	CAR 	QB 	170 	271 	62.7 	30.1 	1970 	7.3 	218.9 	13 	8 	101 	37.3 	79T 	19 	3 	26 	88.3
20 	AlexSmith 	KC 	QB 	188 	315 	59.7 	35.0 	1919 	6.1 	213.2 	9 	4 	96 	30.5 	51 	25 	4 	26 	81.4
21 	JayCutler 	CHI 	QB 	167 	265 	63.0 	33.1 	1908 	7.2 	238.5 	13 	8 	93 	35.1 	58 	22 	5 	11 	88.4
22 	SamBradford 	STL 	QB 	159 	262 	60.7 	37.4 	1687 	6.4 	241.0 	14 	4 	85 	32.4 	73 	19 	3 	15 	90.9
23 	ColinKaepernick 	SF 	QB 	124 	220 	56.4 	24.4 	1675 	7.6 	186.1 	9 	6 	72 	32.7 	64T 	24 	5 	21 	83.0
24 	ChadHenne 	JAC 	QB 	146 	241 	60.6 	30.1 	1630 	6.8 	203.8 	3 	7 	74 	30.7 	59 	21 	2 	19 	72.8
25 	TerrellePryor 	OAK 	QB 	132 	224 	58.9 	28.0 	1559 	7.0 	194.9 	5 	10 	69 	30.8 	73T 	14 	4 	29 	69.0
26 	MattSchaub 	HOU 	QB 	150 	233 	64.4 	38.8 	1552 	6.7 	258.7 	8 	9 	80 	34.3 	41 	16 	1 	15 	78.8
27 	MikeGlennon 	TB 	QB 	134 	225 	59.6 	37.5 	1304 	5.8 	217.3 	9 	4 	72 	32.0 	59T 	12 	1 	15 	81.8
28 	NickFoles 	PHI 	QB 	86 	136 	63.2 	19.4 	1256 	9.2 	179.4 	16 	0 	50 	36.8 	63T 	22 	9 	10 	132.5
