class,sex,gpa,boards,hssoc,pretest,midterm1,midterm2,final,eval
2,M,3.55,410,no,17,43,61,129,3
2,M,2.7,390,no,20,50,47,60,1
2,M,3.5,510,no,22,47,79,119,1
3,M,2.91,430,no,13,24,40,100,1
2,M,3.1,600,no,16,47,60,79,2
3,M,3.49,610,no,28,57,59,99,1
1,F,3.17,610,no,14,42,61,92,3
2,M,3.57,560,no,10,42,79,107,2
3,M,3.76,700,yes,28,69,83,156,1
2,F,3.81,460,yes,30,48,67,110,1
2,F,3.6,590,yes,28,59,74,116,1
3,F,3.1,500,yes,15,21,40,49,1
1,M,3.08,410,no,24,52,71,107,5
2,M,3.5,470,yes,15,35,40,125,1
2,M,3.43,210,yes,26,35,57,64,5
2,F,3.39,610,no,16,59,58,100,1
2,F,3.76,510,yes,25,68,66,138,2
3,F,3.71,600,no,3,38,58,63,1
2,M,3,470,yes,5,45,24,82,3
2,F,3.47,460,no,16,37,48,73,3
2,M,3.69,800,yes,28,54,100,132,2
1,M,3.24,610,no,13,45,83,87,2
2,M,3.46,490,no,9,31,70,89,2
2,F,3.39,470,no,13,39,48,99,1
2,F,3.9,610,yes,30,67,85,119,2
1,F,2.76,580,no,10,30,14,100,1
2,M,2.7,410,no,13,19,55,84,2
1,M,3.77,630,yes,8,71,100,166,3
2,M,4,790,yes,29,80,94,111,2
3,M,3.4,490,no,17,47,45,110,1
2,F,3.09,400,no,15,46,58,93,1
2,M,3.8,610,yes,16,59,90,141,2
1,M,3.28,610,yes,13,48,84,99,2
1,M,3.7,500,yes,30,68,81,114,5
2,M,3.42,430,yes,17,43,49,96,1
3,M,3.09,540,no,17,31,54,39,1
1,M,3.7,610,no,25,64,87,149,4
2,M,2.69,400,no,10,19,36,53,3
3,M,3.4,390,no,23,43,51,39,1
1,F,2.95,490,no,18,20,59,91,1
