id "task" "smoke" "errors"
"1" "pat" "non" 9
"2" "pat" "non" 8
"3" "pat" "non" 12
"4" "pat" "non" 10
"5" "pat" "non" 7
"6" "pat" "non" 10
"7" "pat" "non" 9
"8" "pat" "non" 11
"9" "pat" "non" 8
"10" "pat" "non" 10
"11" "pat" "non" 8
"12" "pat" "non" 10
"13" "pat" "non" 8
"14" "pat" "non" 11
"15" "pat" "non" 10
"16" "pat" "former" 12
"17" "pat" "former" 7
"18" "pat" "former" 14
"19" "pat" "former" 4
"20" "pat" "former" 8
"21" "pat" "former" 11
"22" "pat" "former" 16
"23" "pat" "former" 17
"24" "pat" "former" 5
"25" "pat" "former" 6
"26" "pat" "former" 9
"27" "pat" "former" 6
"28" "pat" "former" 6
"29" "pat" "former" 7
"30" "pat" "former" 16
"31" "pat" "active" 8
"32" "pat" "active" 8
"33" "pat" "active" 9
"34" "pat" "active" 1
"35" "pat" "active" 9
"36" "pat" "active" 7
"37" "pat" "active" 16
"38" "pat" "active" 19
"39" "pat" "active" 1
"40" "pat" "active" 1
"41" "pat" "active" 22
"42" "pat" "active" 12
"43" "pat" "active" 18
"44" "pat" "active" 8
"45" "pat" "active" 10
"46" "cog" "non" 27
"47" "cog" "non" 34
"48" "cog" "non" 19
"49" "cog" "non" 20
"50" "cog" "non" 56
"51" "cog" "non" 35
"52" "cog" "non" 23
"53" "cog" "non" 37
"54" "cog" "non" 4
"55" "cog" "non" 30
"56" "cog" "non" 4
"57" "cog" "non" 42
"58" "cog" "non" 34
"59" "cog" "non" 19
"60" "cog" "non" 49
"61" "cog" "former" 48
"62" "cog" "former" 29
"63" "cog" "former" 34
"64" "cog" "former" 6
"65" "cog" "former" 18
"66" "cog" "former" 63
"67" "cog" "former" 9
"68" "cog" "former" 54
"69" "cog" "former" 28
"70" "cog" "former" 71
"71" "cog" "former" 60
"72" "cog" "former" 54
"73" "cog" "former" 51
"74" "cog" "former" 25
"75" "cog" "former" 49
"76" "cog" "active" 34
"77" "cog" "active" 65
"78" "cog" "active" 55
"79" "cog" "active" 33
"80" "cog" "active" 42
"81" "cog" "active" 54
"82" "cog" "active" 21
"83" "cog" "active" 44
"84" "cog" "active" 61
"85" "cog" "active" 38
"86" "cog" "active" 75
"87" "cog" "active" 61
"88" "cog" "active" 51
"89" "cog" "active" 32
"90" "cog" "active" 47
"91" "drv" "non" 15
"92" "drv" "non" 2
"93" "drv" "non" 2
"94" "drv" "non" 14
"95" "drv" "non" 5
"96" "drv" "non" 0
"97" "drv" "non" 16
"98" "drv" "non" 14
"99" "drv" "non" 9
"100" "drv" "non" 17
"101" "drv" "non" 15
"102" "drv" "non" 9
"103" "drv" "non" 3
"104" "drv" "non" 15
"105" "drv" "non" 13
"106" "drv" "former" 7
"107" "drv" "former" 0
"108" "drv" "former" 6
"109" "drv" "former" 0
"110" "drv" "former" 12
"111" "drv" "former" 17
"112" "drv" "former" 1
"113" "drv" "former" 11
"114" "drv" "former" 4
"115" "drv" "former" 4
"116" "drv" "former" 3
"117" "drv" "former" 5
"118" "drv" "former" 16
"119" "drv" "former" 5
"120" "drv" "former" 11
"121" "drv" "active" 3
"122" "drv" "active" 2
"123" "drv" "active" 0
"124" "drv" "active" 0
"125" "drv" "active" 6
"126" "drv" "active" 2
"127" "drv" "active" 0
"128" "drv" "active" 6
"129" "drv" "active" 4
"130" "drv" "active" 1
"131" "drv" "active" 0
"132" "drv" "active" 0
"133" "drv" "active" 6
"134" "drv" "active" 2
"135" "drv" "active" 3
