studying,tv_watching,sleep_hours
arts,3,4
arts,3,9
arts,1,8
arts,1,7
arts,1,8
arts,0,6
arts,2,8
arts,3,9
arts,0,7
arts,4,6
arts,12,6
arts,0,8
arts,4,9
arts,1,7
arts,0,6
arts,4,6
arts,3,7
arts,1,8
arts,7,5
arts,1,7
arts,2,10
arts,2,8
arts,2,9
arts,0,7
arts,2,5
arts,0,7
arts,4,6
arts,1,6
arts,1,8
arts,1,6
arts,6,7
arts,3,9
arts,5,5
arts,0,8
arts,2,7
arts,12,6
arts,0,7
arts,3,1
arts,2,10
science,1,9
science,2,9
science,1,10
science,3,8
science,0,7
science,1,9
science,3,5
science,1,4
science,1,5
science,4,7
science,6,3
science,4,8
science,0,8
science,4,8
science,0,3
science,1,7
science,0,5
science,3,6
science,4,5
science,2,4
science,2,5
science,0,6
science,1,7
science,2,5
science,1,10
science,0,10
science,0,5
science,4,4
science,2,12
science,0,10
science,1,8
science,2,10
science,1,3
science,1,10
science,3,8
science,0,10
science,5,3
science,2,5
science,2,5
science,0,7
science,1,10
science,0,6
science,1,6
science,1,5
science,2,8
science,0,2
science,2,8
science,5,4
science,2,8
science,1,8
science,4,4
science,2,4
science,4,8
science,1,6
science,0,4
science,2,7
science,3,6
science,2,2
science,2,6
science,2,7
science,1,9
science,3,8
science,0,5
science,2,4
science,2,5
science,2,6
science,2,7
science,1,6
science,1,9
science,1,6
science,4,10
science,0,5
science,0,5
science,1,6
science,6,7
science,0,7
science,2,7
science,3,7
science,1,5
science,1,1
science,5,6
science,0,6
science,0,7
science,0,7
science,8,7
science,3,8
science,1,5
science,3,6
science,0,7
science,0,6
science,2,11
science,3,3
science,2,2
science,2,14
science,0,7
science,3,8
science,0,4
science,0,5
science,1,13
science,0,10
science,0,11
science,7,5
science,1,15
science,1,7
science,0,5
science,0,7
science,0,4
science,0,8
science,1,7
science,1,6
science,2,6
science,1,11
science,1,4
science,0,3
science,2,8
science,3,6
