id "major" "hours"
"1" "math" 15
"2" "math" 20
"3" "math" 14
"4" "math" 15
"5" "math" 14
"6" "math" 10
"7" "math" 12
"8" "math" 9
"9" "math" 10
"10" "math" 11
"11" "math" 9
"12" "math" 8
"13" "math" 8
"14" "math" 10
"15" "math" 8
"16" "math" 7
"17" "math" 7
"18" "math" 5
"19" "math" 5
"20" "math" 5
"21" "math" 15
"22" "math" 6
"23" "math" 5
"24" "math" 3
"25" "math" 5
"26" "socsci" 10
"27" "socsci" 12
"28" "socsci" 8
"29" "socsci" 7
"30" "socsci" 7
"31" "socsci" 10
"32" "socsci" 6
"33" "socsci" 8
"34" "socsci" 5
"35" "socsci" 4
"36" "socsci" 4
"37" "socsci" 4
"38" "socsci" 8
"39" "socsci" 3
"40" "socsci" 5
"41" "socsci" 7
"42" "socsci" 6
"43" "socsci" 3
"44" "socsci" 3
"45" "socsci" 3
"46" "socsci" 2
"47" "socsci" 2
"48" "socsci" 1
"49" "socsci" 5
"50" "socsci" 4
"51" "english" 14
"52" "english" 12
"53" "english" 12
"54" "english" 10
"55" "english" 10
"56" "english" 10
"57" "english" 8
"58" "english" 8
"59" "english" 5
"60" "english" 7
"61" "english" 6
"62" "english" 4
"63" "english" 6
"64" "english" 5
"65" "english" 5
"66" "english" 4
"67" "english" 8
"68" "english" 9
"69" "english" 10
"70" "english" 4
"71" "english" 3
"72" "english" 3
"73" "english" 3
"74" "english" 6
"75" "english" 4
