traveltime,location
30,Ontario
10,Ontario
8,Ontario
30,Ontario
5,Ontario
8,Ontario
7,Ontario
15,Ontario
10,Ontario
35,Ontario
15,Ontario
10,Ontario
25,Ontario
22,Ontario
20,Ontario
25,Ontario
30,Ontario
10,Ontario
25,Ontario
8,Ontario
15,Ontario
18,Ontario
25,Ontario
15,Ontario
10,Ontario
25,Ontario
5,Ontario
2,Ontario
5,Ontario
25,Ontario
20,Ontario
15,Ontario
47,Ontario
20,Ontario
20,Ontario
13,Ontario
20,Ontario
5,Ontario
15,Ontario
12,Ontario
45,UK
5,UK
4,UK
15,UK
50,UK
20,UK
20,UK
20,UK
20,UK
20,UK
25,UK
35,UK
15,UK
30,UK
20,UK
10,UK
45,UK
10,UK
3,UK
60,UK
25,UK
20,UK
5,UK
15,UK
5,UK
15,UK
17,UK
30,UK
40,UK
20,UK
10,UK
30,UK
10,UK
15,UK
20,UK
10,UK
15,UK
17,UK
10,UK
25,UK
