class,smoke,hyper,urea,Freq
C1,0,High,High,28
C1,0,High,Low,82
C1,0,Low,High,21
C1,0,Low,Low,286
C1,1-19,High,High,5
C1,1-19,High,Low,24
C1,1-19,Low,High,5
C1,1-19,Low,Low,71
C1,20+,High,High,1
C1,20+,High,Low,3
C1,20+,Low,High,0
C1,20+,Low,Low,13
C2,0,High,High,50
C2,0,High,Low,266
C2,0,Low,High,34
C2,0,Low,Low,785
C2,1-19,High,High,13
C2,1-19,High,Low,92
C2,1-19,Low,High,17
C2,1-19,Low,Low,284
C2,20+,High,High,0
C2,20+,High,Low,15
C2,20+,Low,High,3
C2,20+,Low,Low,34
C3,0,High,High,278
C3,0,High,Low,1101
C3,0,Low,High,164
C3,0,Low,Low,3160
C3,1-19,High,High,120
C3,1-19,High,Low,492
C3,1-19,Low,High,142
C3,1-19,Low,Low,2300
C3,20+,High,High,16
C3,20+,High,Low,92
C3,20+,Low,High,32
C3,20+,Low,Low,383
C4,0,High,High,63
C4,0,High,Low,213
C4,0,Low,High,52
C4,0,Low,Low,656
C4,1-19,High,High,35
C4,1-19,High,Low,129
C4,1-19,Low,High,46
C4,1-19,Low,Low,649
C4,20+,High,High,7
C4,20+,High,Low,40
C4,20+,Low,High,12
C4,20+,Low,Low,163
C5,0,High,High,20
C5,0,High,Low,78
C5,0,Low,High,23
C5,0,Low,Low,245
C5,1-19,High,High,22
C5,1-19,High,Low,74
C5,1-19,Low,High,34
C5,1-19,Low,Low,321
C5,20+,High,High,7
C5,20+,High,Low,14
C5,20+,Low,High,4
C5,20+,Low,Low,65
