harvard         14.00 91  14 11 39.525 97
princeton       13.75 91  14  8 30.220 95
yale            13.75 95  19 11 43.514 96
stanford        13.60 90  20 12 36.450 93
mit             13.80 94  30 10 34.870 91
duke            13.15 90  30 12 31.585 95
caltech         14.15 100 25  6 63.575 81
dartmouth       13.40 89  23 10 32.162 95
brown           13.10 89  22 13 22.704 94
johns-hopkins   13.05 75  44  7 58.691 87
uchicago        12.90 75  50 13 38.380 87
penn            12.85 80  36 11 27.553 90
cornell         12.80 83  33 13 21.864 90
northwestern    12.60 85  39 11 28.052 89
columbia        13.10 76  24 12 31.510 88
notre-dame      12.55 81  42 13 15.122 94
virginia        12.25 77  44 14 13.349 92
georgetown      12.55 74  24 12 20.126 92
carnegie-mellon 12.60 62  59  9 25.026 72
michigan        11.80 65  58 16 15.470 85
cal-berkeley    12.40 95  40 17 15.140 78
wisconsin       10.85 40  69 15 11.857 71
penn-state      10.81 38  54 18 10.185 80
purdue          10.05 28  90 19  9.066 69
texas-a&m       10.75 49  67 25  8.704 67
