D,sex,edu
3,male,3
3,female,4
4,male,2
2,female,3
3,female,2
5,female,2
4,male,2
2,female,3
1,female,2
2,female,2
4,male,6
4,male,3
2,female,2
2,female,2
4,female,6
4,male,5
1,male,2
3,male,3
1,male,3
4,female,3
2,male,3
3,male,4
4,male,2
2,male,2
3,male,2
5,male,6
4,male,1
3,male,5
4,male,5
4,male,2
3,male,3
2,female,6
4,female,2
2,female,2
3,male,2
3,male,4
3,female,3
4,female,2
2,female,3
4,female,4
3,female,2
3,male,2
3,male,3
2,male,2
3,female,2
3,male,3
4,male,2
2,male,1
2,female,2
1,male,3
2,male,3
2,female,2
1,male,3
2,female,3
2,male,2
3,female,5
2,male,4
3,male,2
3,female,3
2,female,3
2,female,2
2,female,3
4,male,6
5,male,3
4,male,2
3,female,6
4,male,2
2,female,2
2,male,3
2,female,2
2,male,3
2,male,2
1,male,2
1,male,2
2,male,5
1,female,2
1,female,4
1,male,4
4,male,3
3,male,2
3,male,2
2,female,3
5,female,6
3,male,6
2,male,2
3,male,3
5,female,2
3,female,2
2,male,2
3,male,3
3,male,2
2,female,3
2,female,2
3,male,3
5,male,2
5,female,3
3,male,3
2,female,3
3,female,2
4,female,2
2,female,1
4,female,5
4,female,2
4,male,2
3,male,1
5,female,3
4,female,2
3,female,2
4,male,3
3,female,3
3,male,6
2,male,2
3,female,6
4,male,3
2,male,6
2,female,3
4,male,2
4,male,2
4,male,3
4,female,4
5,female,3
4,female,3
5,male,4
5,male,2
5,male,2
3,female,2
2,female,1
2,male,2
4,female,2
5,male,3
4,male,4
3,female,6
4,male,2
5,male,3
4,male,2
4,female,2
3,female,2
3,female,3
3,male,2
2,male,3
4,male,2
2,female,5
1,male,2
2,male,2
3,female,2
2,male,3
3,male,2
2,male,3
4,female,3
4,female,4
4,male,3
4,female,2
3,male,3
5,male,3
3,female,2
4,male,2
3,male,3
4,female,3
3,female,3
2,female,3
3,male,4
3,male,4
4,female,2
3,male,3
2,female,4
3,male,2
3,male,2
4,male,2
3,male,2
3,male,2
3,female,2
3,male,5
3,female,2
3,female,2
3,female,3
3,female,5
2,female,3
3,female,3
4,female,3
4,female,1
4,male,4
3,male,3
2,male,4
1,female,6
3,female,3
3,female,3
2,male,2
3,male,3
2,female,3
2,female,2
1,male,2
3,female,3
2,female,3
2,female,2
2,male,2
2,male,3
2,male,3
1,female,2
5,male,2
5,female,3
4,male,4
4,male,2
5,female,6
2,female,2
2,female,3
4,female,3
2,male,3
4,male,3
4,female,2
2,female,2
3,female,3
2,female,2
5,female,4
4,male,1
4,female,4
3,female,2
4,male,2
2,female,2
2,male,3
4,male,3
2,male,2
3,male,3
3,male,2
2,female,5
3,male,3
4,female,2
4,male,3
1,male,2
2,female,2
1,female,5
2,female,5
2,male,2
3,female,4
2,male,2
2,female,4
3,male,3
4,male,2
5,female,6
1,female,2
5,male,2
5,male,2
3,male,1
3,male,1
2,female,3
3,male,2
2,female,3
5,male,4
3,male,3
4,male,2
5,male,6
5,female,2
5,male,2
5,female,2
5,male,2
4,female,3
5,male,6
3,female,5
4,male,2
3,male,2
4,male,2
2,female,5
4,male,2
5,female,5
5,female,2
3,female,1
5,female,3
3,male,4
2,female,6
2,female,2
3,male,2
5,male,2
2,male,3
4,male,3
2,male,3
4,female,6
5,male,3
4,male,2
2,female,2
1,male,2
2,female,2
2,male,2
1,male,2
3,male,4
5,male,2
4,female,2
3,female,4
4,male,5
5,female,3
5,male,3
4,female,3
2,male,2
5,female,2
2,male,3
2,female,2
5,female,2
2,female,1
4,male,4
2,male,2
4,female,2
3,female,2
2,male,2
4,female,6
5,male,2
3,male,2
4,male,3
4,male,3
4,male,2
5,male,2
5,male,2
3,male,3
4,male,3
2,male,2
2,male,2
4,female,3
5,male,2
4,male,1
5,female,2
2,female,3
3,male,4
5,female,6
2,female,2
4,female,3
4,male,3
4,male,3
4,male,1
5,male,3
1,female,2
5,female,3
5,female,3
3,male,3
3,female,2
2,male,6
4,female,2
3,male,2
3,female,6
2,female,2
2,female,3
4,male,2
4,male,2
4,male,2
4,female,3
5,male,2
2,female,3
3,female,2
3,female,3
3,female,2
